Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Mileage,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Transmission Type,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Price,Top Speed,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port,Volume,Drive Type_4WD,Drive Type_AWD,Drive Type_FWD,Drive Type_RWD,Gross Weight
2022.0,0,Electric,5.0,60000,1,18.9,141.04,6000.0,250.0,4000.0,1,0,0,3,0,0,1,190.0,2498.0,800000.0,165,40.5,56.0,900.0,1,1,1,11685817968.0,0,0,1,0,165
2024.0,3,Electric,5.0,9500,1,21.1,174.33,6000.0,280.0,4000.0,1,0,0,3,1,0,1,165.0,2585.0,1645000.0,175,50.3,60.0,540.0,1,1,1,12895686243.0,0,0,1,0,165
2025.0,0,Electric,5.0,8500,1,18.4,204.0,6000.0,250.0,4000.0,1,1,1,3,2,1,2,165.0,2800.0,4695000.0,175,66.4,30.0,360.0,1,1,1,13728630240.0,0,0,1,0,165
2023.0,3,Electric,5.0,17100,1,20.51,402.3,6000.0,664.0,4000.0,1,0,2,3,2,0,1,160.0,2498.0,7700000.0,200,106.0,30.0,360.0,0,1,1,15986017840.0,1,0,0,0,165
2023.0,0,Electric,5.0,23813,1,19.81,143.0,6000.0,215.0,4000.0,1,0,0,3,0,0,1,190.0,2498.0,1325000.0,165,40.5,56.0,360.0,1,1,1,11688744544.0,0,0,1,0,165
2023.0,0,Electric,5.0,23813,1,19.81,143.0,6000.0,215.0,4000.0,1,0,0,3,0,0,1,190.0,2498.0,1325000.0,165,40.5,56.0,360.0,1,1,1,11688744544.0,0,0,1,0,165
2022.0,2,Electric,5.0,39500,1,22.41,321.84,6000.0,630.0,4000.0,1,0,2,3,1,1,2,170.0,3014.0,770000.0,200,71.0,31.0,445.0,1,1,1,18721597050.0,0,1,0,0,165
2025.0,0,Electric,5.0,2800,1,22.41,282.0,6000.0,380.0,4000.0,1,0,1,3,2,0,1,207.0,2775.0,1345000.0,165,79.0,1220.0,480.0,1,1,1,13561853619.0,0,0,0,1,165
2020.0,2,Electric,5.0,36000,1,18.9,127.0,6000.0,245.0,4000.0,1,0,0,3,1,0,0,205.0,2498.0,1850000.0,165,30.2,60.0,549.6,1,0,1,11613504738.0,0,0,1,0,165
2024.0,3,Electric,5.0,12000,1,18.4,134.0,6000.0,200.0,4000.0,1,0,0,3,2,0,1,186.0,2700.0,2215000.0,165,38.0,45.0,420.0,1,1,1,15312972090.0,0,0,1,0,165
2022.0,0,Electric,5.0,40000,1,22.41,73.75,6000.0,170.0,4000.0,1,0,0,3,1,0,0,172.0,2450.0,627000.0,165,0.0,65.0,0.0,1,1,0,10258671852.0,0,0,1,0,165
2025.0,3,Electric,5.0,2500,1,15.37,282.0,6000.0,380.0,4000.0,1,0,1,3,2,0,1,207.0,2775.0,1650000.0,165,79.0,1220.0,480.0,1,1,1,13561853619.0,0,0,0,1,165
2023.0,2,Electric,5.0,18000,2,19.71,225.86,6000.0,350.0,4000.0,1,0,1,3,2,0,1,160.0,2900.0,9100000.0,192,77.4,73.0,0.0,1,1,1,13931473500.0,0,0,0,1,165
2025.0,0,Electric,5.0,2500,1,21.56,282.0,6000.0,380.0,4000.0,1,0,1,3,2,0,1,207.0,2775.0,155000.0,165,79.0,1220.0,480.0,1,1,1,13561853619.0,0,0,0,1,165
2024.0,0,Electric,5.0,15000,1,18.6,321.84,6000.0,630.0,4000.0,1,0,2,3,1,1,2,180.0,3014.0,5499000.0,200,71.0,31.0,445.0,1,1,1,18721597050.0,0,1,0,0,165
2025.0,0,Electric,5.0,10000,1,20.51,134.0,6000.0,200.0,4000.0,1,0,0,3,2,0,1,186.0,2700.0,585000.0,165,52.9,50.0,570.0,1,1,1,15312972090.0,0,0,1,0,165
2025.0,2,Electric,5.0,2000,1,12.62,523.0,6000.0,670.0,4000.0,1,0,2,3,0,1,2,163.0,2920.0,540000.0,165,82.56,0.0,0.0,1,1,1,13140000000.0,0,1,0,0,2631
2025.0,3,Electric,5.0,5600,1,20.92,120.69,6000.0,190.0,4000.0,1,0,0,3,0,0,1,190.0,2445.0,4998000.0,165,35.0,56.0,300.0,1,1,1,10971953902.0,0,0,1,0,165
2022.0,2,Electric,5.0,56000,1,12.8,140.8,3500.0,350.0,5000.0,1,0,0,2,1,0,1,180.0,2585.0,409000.0,165,44.5,0.0,0.0,1,0,0,12642522120.0,0,0,1,0,165
2024.0,2,Electric,5.0,2200,1,19.71,201.0,6000.0,310.0,4000.0,1,0,2,3,0,1,1,175.0,2720.0,300000.0,165,60.48,50.0,570.0,1,1,1,13490296875.0,0,0,1,0,2160
