ID,Price,Levy,Manufacturer,Model,year,Category,Leather interior,Engine volume,Mileage,Cylinders,Doors,Wheel,Color,Airbags,Engine Type,Gear box type_Automatic,Gear box type_Manual,Gear box type_Tiptronic,Gear box type_Variator,Drive wheels_FWD,Drive wheels_RWD,Fuel_Diesel,Fuel_Hybrid,Fuel_Hydrogen,Fuel_LPG,Fuel_Petrol,Fuel_Plug-in Hybrid
45654403,13328.0,1399,LEXUS,RX 450,2010,Jeep,1,3.5,186005.0,6.0,04-May,1,Silver,12.0,0,1,0,0,0,0,0,False,True,False,False,False,False
44731507,16621.0,1018,CHEVROLET,Equinox,2011,Jeep,0,3.0,192000.0,6.0,04-May,1,Black,8.0,0,0,0,1,0,0,0,False,False,False,False,True,False
45774419,8467.0,-,HONDA,FIT,2006,Hatchback,0,1.3,200000.0,4.0,04-May,0,Black,2.0,0,0,0,0,1,1,0,False,False,False,False,True,False
45769185,3607.0,862,FORD,Escape,2011,Jeep,1,2.5,168966.0,4.0,04-May,1,White,6.0,0,1,0,0,0,0,0,False,True,False,False,False,False
45809263,11726.0,446,HONDA,FIT,2014,Hatchback,1,1.3,91901.0,4.0,04-May,1,Silver,4.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45802912,39493.0,891,HYUNDAI,Santa FE,2016,Jeep,1,2.0,160931.0,4.0,04-May,1,White,4.0,0,1,0,0,0,1,0,True,False,False,False,False,False
45656768,1803.0,761,TOYOTA,Prius,2010,Hatchback,1,1.8,258909.0,4.0,04-May,1,White,12.0,0,1,0,0,0,1,0,False,True,False,False,False,False
45816158,13172.0,751,HYUNDAI,Sonata,2013,Sedan,1,2.4,216118.0,4.0,04-May,1,Grey,12.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45641395,1098.0,394,TOYOTA,Camry,2014,Sedan,1,2.5,398069.0,4.0,04-May,1,Black,12.0,0,1,0,0,0,1,0,False,True,False,False,False,False
45756839,26657.0,-,LEXUS,RX 350,2007,Jeep,1,3.5,128500.0,6.0,04-May,1,Silver,12.0,0,1,0,0,0,0,0,False,False,False,False,True,False
45621750,11917.5,1053,MERCEDES-BENZ,E 350,2014,Sedan,1,3.5,184467.0,6.0,04-May,1,White,12.0,0,1,0,0,0,0,1,True,False,False,False,False,False
45814819,8781.0,-,FORD,Transit,1999,Microbus,0,4.0,4512.0,8.0,02-Mar,1,Blue,2.0,0,0,1,0,0,0,1,False,False,False,False,False,False
45815568,3000.0,-,OPEL,Vectra,1997,Goods wagon,0,1.6,350000.0,4.0,04-May,1,White,4.0,0,0,1,0,0,1,0,False,False,False,False,False,False
45661288,1019.0,1055,LEXUS,RX 450,2013,Jeep,1,3.5,138038.0,6.0,04-May,1,White,12.0,0,1,0,0,0,1,0,False,True,False,False,False,False
45732604,59464.0,891,HYUNDAI,Santa FE,2016,Jeep,1,2.0,76000.0,4.0,04-May,1,White,4.0,0,1,0,0,0,1,0,True,False,False,False,False,False
45465200,17876.0,1079,TOYOTA,CHR,2018,Jeep,1,2.0,74146.0,4.0,04-May,1,White,12.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45772281,7683.0,810,HYUNDAI,Elantra,2016,Sedan,1,1.8,121840.0,4.0,04-May,1,Blue,12.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45797221,28382.0,810,HYUNDAI,Elantra,2016,Sedan,1,1.8,54317.0,4.0,04-May,1,White,4.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45772104,13172.0,2386,HYUNDAI,Sonata,2006,Sedan,1,3.3,295059.0,6.0,04-May,1,Blue,12.0,0,1,0,0,0,0,1,False,False,False,False,True,False
45653306,8154.0,1850,LEXUS,RX 400,2008,Jeep,1,3.5,364523.0,6.0,04-May,1,Black,12.0,0,1,0,0,0,0,0,False,True,False,False,False,False
45801686,18826.0,531,HYUNDAI,Elantra,2012,Sedan,1,1.6,112645.0,4.0,04-May,1,Silver,4.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45168471,20698.0,586,TOYOTA,Prius,2012,Sedan,1,1.8,187000.0,4.0,04-May,1,White,12.0,0,1,0,0,0,1,0,False,False,False,False,False,True
45751951,17562.0,1249,TOYOTA,Camry,2017,Sedan,1,2.5,39709.0,4.0,04-May,1,Black,12.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45814106,7840.0,-,FORD,Transit,2001,Microbus,0,2.0,230000.0,4.0,02-Mar,1,White,4.0,1,0,1,0,0,1,0,True,False,False,False,False,False
45813492,4704.0,-,OPEL,Vectra,1995,Sedan,0,1.8,150000.0,4.0,04-May,1,Green,4.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45782859,20385.0,-,MERCEDES-BENZ,E 220,2006,Sedan,1,2.2,210000.0,4.0,04-May,1,Black,8.0,1,0,0,1,0,0,1,True,False,False,False,False,False
45759112,34967.5,2455,LEXUS,GX 470,2008,Jeep,1,4.7,218126.0,8.0,04-May,1,White,4.0,0,1,0,0,0,0,0,False,False,False,False,True,False
45804684,14113.0,-,TOYOTA,Prius,2008,Sedan,0,1.5,169000.0,4.0,04-May,1,White,8.0,0,1,0,0,0,1,0,False,True,False,False,False,False
45801525,14454.0,583,HYUNDAI,Elantra,2011,Sedan,1,1.6,158787.0,4.0,04-May,1,Silver,4.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45768550,12074.0,1537,TOYOTA,Highlander,2009,Jeep,1,3.3,420550.0,6.0,04-May,1,Blue,12.0,0,1,0,0,0,0,0,False,True,False,False,False,False
44944581,15681.0,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,0,2.0,180000.0,6.0,04-May,1,White,4.0,1,0,1,0,0,0,1,True,False,False,False,False,False
45760983,19444.0,915,PORSCHE,Cayenne,2014,Jeep,1,3.0,175056.0,6.0,04-May,1,White,12.0,0,1,0,0,0,0,0,True,False,False,False,False,False
45790136,6899.0,-,BMW,X5,2000,Jeep,1,4.4,200000.0,8.0,04-May,1,Silver,6.0,0,1,0,0,0,0,0,False,False,False,False,False,False
45770026,9879.0,1750,TOYOTA,Highlander,2008,Sedan,1,3.3,287274.0,6.0,04-May,1,White,12.0,0,1,0,0,0,0,0,False,True,False,False,False,False
45542380,24462.0,-,JEEP,Grand Cherokee,2007,Jeep,1,3.0,250000.0,6.0,04-May,1,Black,10.0,1,0,0,1,0,0,0,True,False,False,False,False,False
45732374,23235.0,707,HYUNDAI,Santa FE,2011,Jeep,1,2.0,162000.0,4.0,04-May,1,Grey,4.0,0,1,0,0,0,1,0,True,False,False,False,False,False
45369569,51746.0,1077,TOYOTA,CHR Limited,2019,Jeep,0,2.0,10200.0,4.0,04-May,1,Red,12.0,0,0,0,1,0,1,0,False,False,False,False,True,False
45642526,7527.0,1486,HONDA,FIT,2010,Hatchback,0,1.3,158000.0,4.0,04-May,0,Black,4.0,0,1,0,0,0,1,0,False,True,False,False,False,False
45801668,19121.0,531,HYUNDAI,Elantra,2012,Sedan,1,1.6,103490.0,4.0,04-May,1,Silver,4.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45661296,13328.0,1399,LEXUS,RX 450,2010,Jeep,1,3.5,382746.0,6.0,04-May,1,Silver,12.0,0,1,0,0,0,0,0,False,True,False,False,False,False
45815051,24462.0,751,TOYOTA,Camry,2013,Sedan,1,2.4,203200.0,4.0,04-May,1,Blue,4.0,0,1,0,0,0,1,0,False,False,False,False,True,False
45797488,45734.0,1091,HYUNDAI,H1,2016,Universal,1,2.5,61057.0,4.0,04-May,1,Black,4.0,0,1,0,0,0,1,0,True,False,False,False,False,False
