Mileage,Engine,Kerb Weight,Fuel,Transmission Type,Power,No. of Cylinders,Registration Year
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,2015
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Apr 2015
15.6 kmpl,1196 cc,1090 kg,Petrol,Manual,70 bhp,4.0,Dec 2019
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Jul 2017
25.44 kmpl,936 cc,1025 kg,Diesel,Manual,56.3 bhp,3.0,2015
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Nov 2017
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Feb 2018
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Mar 2017
17.1 kmpl,1956 cc,1562 s kg,,Manual,170 bhp,4.0,2018
17.1 kmpl,1956 cc,1562 s kg,,Manual,170 bhp,4.0,2017
16.11 kmpl,1196 cc,940 kg,Petrol,Manual,72.41 bhp,4.0,2021
21.4 kmpl,1197 cc,870 kg,Petrol,Manual,83.1 bhp,4.0,2017
21 kmpl,1197 cc,1120 kg,Petrol,Manual,81.80 bhp,4.0,2020
21.01 kmpl,1197 cc,865-890 kg,Petrol,Manual,81.80 bhp,4.0,2019
15.37 kmpl,1196 cc,928 kg,Petrol,Manual,73 bhp,4.0,2019
21.94 km/kg,1196 cc,1050 kg,CNG,Manual,61.7 bhp,4.0,2017
17.2 kmpl,2523 cc,1620 kg,Diesel,Manual,65.03 bhp,4.0,2022
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Aug 2018
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Nov 2014
17 kmpl,1497 cc,1100 kg,Petrol,Manual,,4.0,2010
,,1120 kg,Petrol,Manual,,4.0,May 2018
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Apr 2016
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Sept 2016
30.46 km/kg,796 cc,720 kg,CNG,Manual,47.3 bhp,3.0,2014
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Mar 2016
21.63 kmpl,998 cc,835s kg,Petrol,Manual,67 bhp,3.0,Feb 2019
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Apr 2019
16.38 kmpl,1995 cc,1617 kg,,Automatic,182.46 bhp,4.0,2019
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Nov 2016
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Jul 2016
18.72 kmpl,1498 cc,1258 kg,Petrol,Manual,147.52 bhp,4.0,Sept 2022
,,,,Automatic,73.75 bhp,,2023
19.47 kmpl,999 cc,1160-1215 kg,Petrol,Manual,113.98 bhp,3.0,Feb 2023
19 kmpl,1197 cc,970 kg,Petrol,Manual,85.8 bhp,4.0,Jun 2018
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2015
,,1316 kg,,Automatic,56.21 bhp,,2023
14.2 kmpl,2198 cc,2238 kg,Diesel,Automatic,158.2 bhp,4.0,2020
20.32 kmpl,999 cc,1160-1216 kg,Petrol,Manual,114 bhp,3.0,2025
,1995 cc,1690 kg,Diesel,Automatic,187.7 bhp,4.0,2021
25 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,2016
24 kmpl,1120 cc,1025 kg,Diesel,Manual,70 bhp,3.0,2016
21.38 kmpl,1396 cc,1240 kg,,Manual,88.7 bhp,4.0,2016
20.36 kmpl,1197 cc,,Petrol,Manual,82 bhp,4.0,2024
19.72 kmpl,1461 cc,1210 kg,,Manual,108.45 bhp,4.0,2015
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Dec 2018
21.56 kmpl,1462 cc,1045 kg,Petrol,Manual,103.25 bhp,4.0,Feb 2018
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,Mar 2016
16.8 kmpl,1497 cc,1335 kg,Petrol,Manual,113.43 bhp,4.0,2021
20.89 kmpl,1197 cc,835 kg,Petrol,Manual,81.80 bhp,4.0,May 2017
19.44 kmpl,999 cc,1050 kg,Petrol,Manual,75 bhp,3.0,May 2019
21.01 kmpl,1197 cc,865-890 kg,Petrol,Manual,81.80 bhp,4.0,Jun 2021
13 kmpl,1591 cc,1280 kg,,Manual,121.3 bhp,4.0,2019
18.9 kmpl,1197 cc,1140 kg,Petrol,Manual,81.86 bhp,4.0,May 2018
18.72 kmpl,1498 cc,1258 kg,Petrol,Manual,147.52 bhp,4.0,Apr 2023
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,Jun 2015
24.3 kmpl,1248 cc,1185 kg,,Manual,88.5 bhp,4.0,2017
19.5 kmpl,1199 cc,917 kg,Petrol,Manual,88.76 bhp,4.0,Jul 2017
21.4 kmpl,1197 cc,870 kg,Petrol,Manual,83.1 bhp,4.0,Jul 2016
21.7 kmpl,998 cc,736-775 kg,Petrol,Manual,65.71 bhp,3.0,May 2021
19.5 kmpl,1199 cc,924 kg,Petrol,Manual,88.76 bhp,4.0,2019
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,Jan 2019
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Nov 2015
22.35 kmpl,1197 cc,925-955 kg,Petrol,Manual,88.50 bhp,4.0,Jun 2024
21.7 kmpl,998 cc,736-775 kg,Petrol,Manual,65.71 bhp,3.0,2021
20.73 kmpl,1373 cc,1030 kg,Petrol,Manual,91.1 bhp,4.0,Dec 2022
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Apr 2018
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2013
13.93 kmpl,2179 cc,1850 kg,,Manual,138.03 bhp,4.0,2010
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jul 2017
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Oct 2015
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jun 2018
28.09 kmpl,1248 cc,1115 kg,Diesel,Manual,88.5 bhp,4.0,2015
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Apr 2017
25.24 kmpl,998 cc,810 kg,Petrol,Manual,67.77 bhp,3.0,Mar 2019
20.89 kmpl,1197 cc,825 kg,Petrol,Manual,81.80 bhp,4.0,Mar 2017
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,2015
21.4 kmpl,1197 cc,870 kg,Petrol,Manual,83.1 bhp,4.0,Nov 2017
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Feb 2014
24.39 kmpl,998 cc,,Petrol,Manual,65.71 bhp,3.0,Jan 2024
20.3 kmpl,1199 cc,1035-1062 kg,Petrol,Manual,83.81 bhp,3.0,Aug 2022
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,May 2019
21.01 kmpl,1197 cc,865-890 kg,Petrol,Manual,81.80 bhp,4.0,Oct 2020
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2015
21.4 kmpl,1197 cc,880 kg,Petrol,Manual,83.1 bhp,4.0,Jul 2018
20.3 kmpl,1086 cc,1050 kg,Petrol,Manual,68.05 bhp,4.0,Oct 2021
18.16 kmpl,1196 cc,995-1015 kg,Petrol,Manual,86.8 bhp,4.0,Sept 2018
21.74 kmpl,999 cc,730 kg,Petrol,Manual,67 bhp,3.0,Feb 2022
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jun 2019
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Dec 2016
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Dec 2014
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jan 2017
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jan 2019
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Nov 2015
21.4 kmpl,1197 cc,880 kg,Petrol,Manual,83.1 bhp,4.0,Feb 2017
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Dec 2015
18.19 kmpl,1197 cc,1179 kg,Petrol,Automatic,103.2 bhp,4.0,Sept 2016
24.79 kmpl,1197 cc,920-960 kg,Petrol,Manual,80 bhp,3.0,Apr 2019
21.4 kmpl,1197 cc,890 kg,Petrol,Manual,83.1 bhp,4.0,Nov 2018
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Jan 2015
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2019
20.7 kmpl,1197 cc,1160 kg,Petrol,Manual,81.86 bhp,4.0,Dec 2022
18.5 kmpl,1194 cc,1016-1033 kg,Petrol,Manual,94.93 bhp,3.0,Jun 2016
20.7 kmpl,1197 cc,1160 kg,Petrol,Manual,81.86 bhp,4.0,Apr 2022
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Jan 2019
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Dec 2017
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Sept 2017
23.84 kmpl,1199 cc,940 kg,Petrol,Manual,84 bhp,3.0,Sept 2018
17.8 kmpl,1198 cc,965 kg,Petrol,Manual,86.7 bhp,4.0,Nov 2016
17.8 kmpl,1198 cc,955 kg,Petrol,Manual,86.7 bhp,4.0,Mar 2018
17.4 kmpl,1497 cc,1088 kg,Petrol,Manual,117.6 bhp,4.0,May 2019
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Mar 2022
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,Mar 2018
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,May 2017
21.21 kmpl,1197 cc,860-895 kg,Petrol,Manual,81.80 bhp,4.0,May 2019
30.48 km/kg,1086 cc,1070 kg,CNG,Manual,58 bhp,4.0,Dec 2019
17.4 kmpl,1497 cc,1042 kg,Petrol,Manual,117.3 bhp,4.0,Oct 2016
23.84 kmpl,1199 cc,1012 kg,Petrol,Manual,84 bhp,3.0,Aug 2017
21.21 kmpl,1197 cc,860-895 kg,Petrol,Manual,81.80 bhp,4.0,Feb 2018
19.01 kmpl,1199 cc,982 kg,Petrol,Manual,84.82 bhp,3.0,Aug 2020
18 kmpl,1197 cc,,Petrol,Manual,82 bhp,4.0,May 2023
20.32 kmpl,999 cc,1160-1216 kg,Petrol,Manual,113.98 bhp,3.0,Nov 2023
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Dec 2015
20.73 kmpl,1373 cc,1010 kg,Petrol,Manual,91.1 bhp,4.0,Aug 2016
18.97 kmpl,999 cc,1112-1138 kg,Petrol,Manual,108.62 bhp,3.0,Jun 2021
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jul 2019
17.19 kmpl,1197 cc,1180 kg,Petrol,Manual,81.86 bhp,4.0,May 2019
19.01 kmpl,1199 cc,982 kg,Petrol,Manual,84.82 bhp,3.0,Jan 2022
18 kmpl,1497 cc,1065 kg,Petrol,Automatic,117.3 bhp,4.0,Aug 2014
22.35 kmpl,1197 cc,925-955 kg,Petrol,Manual,88.50 bhp,4.0,Mar 2022
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Sept 2021
20.4 kmpl,1197 cc,855 kg,Petrol,Manual,81.80 bhp,4.0,Sept 2015
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,May 2017
18.6 kmpl,1199 cc,934 kg,Petrol,Manual,88.50 bhp,4.0,Aug 2015
18 kmpl,1198 cc,950 kg,Petrol,Manual,86.7 bhp,4.0,Dec 2015
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Jul 2019
21.21 kmpl,1197 cc,860-895 kg,Petrol,Manual,81.80 bhp,4.0,Apr 2018
20.52 kmpl,1197 cc,830-845 kg,Petrol,Manual,81.80 bhp,4.0,May 2016
,,1120 kg,Petrol,Manual,,4.0,Oct 2017
18.7 kmpl,1199 cc,1044 kg,Petrol,Manual,88.7 bhp,4.0,Sept 2015
20.73 kmpl,1373 cc,1030 kg,Petrol,Manual,91.1 bhp,4.0,2018
21.94 km/kg,1196 cc,1050 kg,CNG,Manual,61.7 bhp,4.0,2018
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,May 2015
21.21 kmpl,1197 cc,855-885 kg,Petrol,Manual,81.80 bhp,4.0,Nov 2013
