Engine,No. of Cylinders,Drive Type,Transmission,Fuel Type,Engine Type,Valves Per Cylinder,Power
1984 cc,4.0,FWD,Automatic,Petrol,2.0L Turbocharged Petrol,4.0,187.74 bhp
1353 cc,4.0,FWD,Manual,Petrol,SMARTSTREAM G1.5,4.0,113.43 bhp
1462 cc,4.0,2WD,Automatic,Petrol,,4.0,101.64 bhp
1462 cc,4.0,FWD,Manual,Petrol,K15C With Mild Hybrid System,4.0,101.64 bhp
1956 cc,4.0,FWD,Manual,Diesel,Kryotec 2.0L,4.0,167.62 bhp
1197 cc,4.0,FWD,Automatic,Petrol,TSI Petrol Engine,4.0,103.2 bhp
999 cc,3.0,FWD,Manual,Petrol,ENERGY Engine,4.0,71.01 bhp
1493 cc,3.0,RWD,Manual,Diesel,mHAWK D70 Diesel Engine,4.0,70 bhp
1498 cc,4.0,FWD,Automatic,Petrol,1.5L TSI EVO with ACT,4.0,147.51 bhp
1197 cc,4.0,RWD,Manual,Petrol,K12N,4.0,79.65 bhp
998 cc,3.0,FWD,Manual,Petrol,Smartstream G1.0 T - GDi,4.0,118.36 bhp
1199 cc,4.0,FWD,Automatic,Petrol,i-VTEC Petrol Engine,4.0,88.7 bhp
2956 cc,4.0,FWD,Manual,Diesel,VTT DICOR Engine,4.0,138.03 bhp
1497 cc,4.0,2WD,Automatic,Petrol,SmartStream G1.5,4.0,113.42 bhp
,,,,,,,
1956 cc,4.0,,Manual,Diesel,2.0L Turbocharged Diesel,4.0,167.67 bhp
1462 cc,4.0,FWD,Manual,Petrol,K15C Smart Hybrid,4.0,101.64 bhp
1497 cc,4.0,,Manual,Petrol,i-VTEC,4.0,117.60 bhp
1197 cc,4.0,FWD,Manual,Petrol,Kappa VTVT Petrol Engine,4.0,81.83 bhp
1199 cc,3.0,FWD,Manual,Petrol,Revotron Engine,4.0,84 bhp
1956 cc,4.0,FWD,Manual,Diesel,,4.0,167.68 bhp
1248 cc,4.0,FWD,Automatic,Diesel,DDIS 200 Engine,4.0,88.50 bhp
999 cc,3.0,FWD,Manual,Petrol,Petrol Engine,4.0,67 bhp
1497 cc,4.0,2WD,Manual,Petrol,SmartStream G1.5,4.0,113.42 bhp
1353 cc,4.0,FWD,Manual,Petrol,Smartstream G1.4,4.0,138.08 bhp
1497 cc,3.0,FWD,Manual,Petrol,Ti-VCT Petrol Engine,4.0,121.31 bhp
2996 cc,6.0,AWD,Automatic,Petrol,V Type Petrol Engine,4.0,384.87 bhp
1197 cc,4.0,FWD,Manual,Petrol,K Series VVT Engine,4.0,81.80 bhp
1197 cc,4.0,FWD,Automatic,Petrol,Kappa VTVT Petrol Engine,4.0,81.86 bhp
1950 cc,4.0,RWD,Automatic,Diesel,In-Line 4 Cylinder diesel Engine,4.0,191.76 bhp
1493 cc,4.0,FWD,Manual,Diesel,1.5 L CRDi VGT,4.0,113.43 bhp
1497 cc,4.0,FWD,Manual,Petrol,SMARTSTREAM G1.5,4.0,113.43 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0 TSI Petrol Engine,4.0,113.98 bhp
1969 cc,4.0,AWD,Automatic,Diesel,Twin Turbo Diesel Engine,4.0,235 bhp
1086 cc,4.0,,Manual,Petrol,In-Line Engine,3.0,62 bhp
2987 cc,6.0,AWD,Automatic,Diesel,V-Type Engine,4.0,258 bhp
1497 cc,4.0,2WD,Automatic,Petrol,Smartstream G1.5,4.0,113.4 bhp
1956 cc,4.0,4x4,Automatic,Diesel,2.0L Multijet Diesel,4.0,167.67 bhp
2755 cc,4.0,RWD,Automatic,Diesel,1-GD FTV Engine,4.0,171.5 bhp
1956 cc,4.0,FWD,Manual,Diesel,Kryotec 2.0 L Turbocharged,4.0,167.63 bhp
2499 cc,4.0,AWD,Automatic,Petrol,2.5 litre Petrol Engine,4.0,194.3 bhp
1368 cc,4.0,4X2,Automatic,Petrol,1.4-Litre 4-Cyl Multiair,4.0,160 bhp
1353 cc,4.0,2WD,Manual,Petrol,Smartstream G1.4 T-GDi,4.0,138.05 bhp
1498 cc,4.0,FWD,Manual,Petrol,1.5 TSI Petrol Engine,4.0,147.51 bhp
1956 cc,4.0,,Manual,Diesel,Kryotec 2.0 L Turbocharged Engine,4.0,167.67 bhp
1493 cc,4.0,FWD,Manual,Diesel,CRDi VGT,4.0,114.41 bhp
1950 cc,4.0,AWD,Automatic,Diesel,OM 654 Diesel engine,4.0,194 bhp
1497 cc,4.0,2WD,Automatic,Petrol,Smartstream G1.5,4.0,113.42 bhp
