Engine,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Fuel Type,Engine Type,Emission Norm Compliance,Kerb Weight,Drive Type,Transmission,Power
1984 cc,4.0,4.0,,TSI,Petrol,2.0L Turbocharged Petrol,BS VI,1579 kg,FWD,Automatic,187.74 bhp
1353 cc,4.0,4.0,,MPI,Petrol,SMARTSTREAM G1.5,BS VI,1485 kg,FWD,Manual,113.43 bhp
1462 cc,4.0,4.0,,,Petrol,,BS VI,1185 - 1210 kg,2WD,Automatic,101.64 bhp
1462 cc,4.0,4.0,,,Petrol,K15C With Mild Hybrid System,BS VI 2.0,1140-1185 kg,FWD,Manual,101.64 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0L,BS VI 2.0,,FWD,Manual,167.62 bhp
1197 cc,4.0,4.0,SOHC,Direct Injection,Petrol,TSI Petrol Engine,BS IV,1179 kg,FWD,Automatic,103.2 bhp
999 cc,3.0,4.0,,multi-point fuel injection,Petrol,ENERGY Engine,BS VI 2.0,,FWD,Manual,71.01 bhp
1493 cc,3.0,4.0,SOHC,CRDi,Diesel,mHAWK D70 Diesel Engine,BS IV,1450 kg,RWD,Manual,70 bhp
1498 cc,4.0,4.0,,TSI,Petrol,1.5L TSI EVO with ACT,BS VI 2.0,1312 kg,FWD,Automatic,147.51 bhp
1197 cc,4.0,4.0,,,Petrol,K12N,BS VI 2.0,935 kg,RWD,Manual,79.65 bhp
998 cc,3.0,4.0,,GDi,Petrol,Smartstream G1.0 T - GDi,BS VI,1201 kg,FWD,Manual,118.36 bhp
1199 cc,4.0,4.0,SOHC,PGM - Fi,Petrol,i-VTEC Petrol Engine,BS IV,1066 kg,FWD,Automatic,88.7 bhp
2956 cc,4.0,4.0,DOHC,Direct Injection Common Rail,Diesel,VTT DICOR Engine,BS IV,1900 kg,FWD,Manual,138.03 bhp
1497 cc,4.0,4.0,,MPi,Petrol,SmartStream G1.5,BS VI 2.0,,2WD,Automatic,113.42 bhp
,,,,,,,,,,,
1956 cc,4.0,4.0,,,Diesel,2.0L Turbocharged Diesel,BS VI,1860 kg,,Manual,167.67 bhp
1462 cc,4.0,4.0,,,Petrol,K15C Smart Hybrid,BS VI 2.0,1150-1205 kg,FWD,Manual,101.64 bhp
1497 cc,4.0,4.0,SOHC,,Petrol,i-VTEC,BS VI,1063 kg,,Manual,117.60 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,BS IV,1066 kg,FWD,Manual,81.83 bhp
1199 cc,3.0,4.0,DOHC,MPFi,Petrol,Revotron Engine,BS IV,1012 kg,FWD,Manual,84 bhp
1956 cc,4.0,4.0,,,Diesel,,BS VI,1860 kg,FWD,Manual,167.68 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDIS 200 Engine,BS IV,1105 kg,FWD,Automatic,88.50 bhp
999 cc,3.0,4.0,DOHC,MPFi,Petrol,Petrol Engine,,730 kg,FWD,Manual,67 bhp
1497 cc,4.0,4.0,,MPi,Petrol,SmartStream G1.5,BS VI 2.0,,2WD,Manual,113.42 bhp
1353 cc,4.0,4.0,,GDi,Petrol,Smartstream G1.4,BS VI,1515 kg,FWD,Manual,138.08 bhp
1497 cc,3.0,4.0,DOHC,Direct Injection,Petrol,Ti-VCT Petrol Engine,BS IV,1242 kg,FWD,Manual,121.31 bhp
2996 cc,6.0,4.0,DOHC,Direct Injection,Petrol,V Type Petrol Engine,BS IV,2240 kg,AWD,Automatic,384.87 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,K Series VVT Engine,BS VI,860-895 kg,FWD,Manual,81.80 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,,1200 kg,FWD,Automatic,81.86 bhp
1199 cc,3.0,4.0,DOHC,MPFi,Petrol,Revotron Engine,BS IV,940 kg,FWD,Manual,84 bhp
1950 cc,4.0,4.0,DOHC,CRDI,Diesel,In-Line 4 Cylinder diesel Engine,BS VI,1735 kg,RWD,Automatic,191.76 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 L CRDi VGT,BS VI,1475 kg,FWD,Manual,113.43 bhp
1497 cc,4.0,4.0,,MPI,Petrol,SMARTSTREAM G1.5,BS VI,1404 kg,FWD,Manual,113.43 bhp
