car_name,Price,Registration Year,Kms Driven,Ownership,Fuel,Transmission,Drive Type,Engine,Power,Mileage,No. of Cylinders,Turbo Charger,Seats,Kerb Weight,Ground Clearance Unladen,Petrol Fuel Tank Capacity,Diesel Fuel Tank Capacity,CNG Fuel Tank Capacity
Skoda Superb,₹26.65 Lakh,Jan 2021,"54,626 Kms",First Owner,Petrol,Automatic,FWD,1984 cc,187.74 bhp,15.1 kmpl,4.0,Yes,5 Seats,1579 kg,156 mm,66 Litres,,
Kia Seltos,₹10.37 Lakh,Jan 2021,"50,756 Kms",Second Owner,Petrol,Manual,FWD,1353 cc,113.43 bhp,16.8 kmpl,4.0,No,5 Seats,1485 kg,,,,
Maruti Suzuki Grand Vitara,₹12.82 Lakh,Dec 2022,"18,513 Kms",First Owner,Petrol,Automatic,2WD,1462 cc,101.64 bhp,20.58 kmpl,4.0,,5 Seats,1185 - 1210 kg,,45 Litres,,
Maruti Suzuki Grand Vitara,₹11.04 Lakh,May 2023,"38,543 Kms",First Owner,,Manual,FWD,1462 cc,101.64 bhp,21.11 kmpl,4.0,,5 Seats,1140-1185 kg,210 mm,45 Litres,,
Tata Safari,₹23.50 Lakh,2023,"30,000 Kms",First Owner,Diesel,Manual,FWD,1956 cc,167.62 bhp,16.3 kmpl,4.0,Yes,7 Seats,,,,50 Litres,
Volkswagen Vento,₹7.25 Lakh,Aug 2018,"69,000 Kms",First Owner,Petrol,Automatic,FWD,1197 cc,103.2 bhp,18.19 kmpl,4.0,Yes,5 Seats,1179 kg,163 mm,55 Litres,,
Renault Triber,₹6.52 Lakh,May 2022,"22,483 Kms",First Owner,Petrol,Manual,FWD,999 cc,71.01 bhp,20 kmpl,3.0,,7 Seats,,182 mm,40 Litres,,
Mahindra Bolero Power Plus,₹7.21 Lakh,Jun 2019,"1,46,000 Kms",First Owner,,Manual,RWD,1493 cc,70 bhp,16.5 kmpl,3.0,Yes,7 Seats,1450 kg,180 mm,,60 Litres,
Volkswagen Taigun,₹16.25 Lakh,2024,"40,000 Kms",First Owner,,Automatic,FWD,1498 cc,147.51 bhp,17.88 kmpl,4.0,Yes,5 Seats,1312 kg,188 mm,50 Litres,,
Maruti Suzuki Eeco,₹5.75 Lakh,2024,"30,000 Kms",First Owner,Petrol,Manual,RWD,1197 cc,79.65 bhp,19.71 kmpl,4.0,,5 Seats,935 kg,,32 Litres,,
Kia Sonet,₹8 Lakh,2020,"57,000 Kms",Second Owner,Petrol,Manual,FWD,998 cc,118.36 bhp,18.2 kmpl,3.0,Yes,5 Seats,1201 kg,,45 Litres,,
Honda Jazz,₹4.50 Lakh,2016,"81,000 Kms",Second Owner,Petrol,Automatic,FWD,1199 cc,88.7 bhp,19 kmpl,4.0,No,5 Seats,1066 kg,165 mm,40 Litres,,
