,car_name,Price,Registration Year,Kms Driven,Ownership,Fuel,Transmission,Drive Type,Engine,Power,Mileage,No. of Cylinders,Turbo Charger,Seats,Kerb Weight,Ground Clearance Unladen,Petrol Fuel Tank Capacity,Diesel Fuel Tank Capacity,CNG Fuel Tank Capacity
0,Hyundai Grand i10,₹3 Lakh,2015,"1,10,422 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,82 bhp,18.9 kmpl,4.0,No,5 Seats,935 kg,165 mm,43 Litres,,
1,Hyundai i10,₹3.22 Lakh,Apr 2015,"41,223 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
2,Ford Figo,₹4.13 Lakh,Dec 2019,"73,627 Kms",First Owner,Petrol,Manual,Front Wheel Drive,1196 cc,70 bhp,15.6 kmpl,4.0,No,5 Seats,1090 kg,168 mm,45 Litres,,
3,Hyundai Grand i10,₹4.37 Lakh,Jul 2017,"72,080 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1060 kg,165 mm,43 Litres,,
4,Chevrolet Beat,₹2.51 Lakh,2015,"1,00,000 Kms",Third Owner,Diesel,Manual,FWD,936 cc,56.3 bhp,25.44 kmpl,3.0,Yes,5 Seats,1025 kg,175 mm,,35 Litres,
5,Hyundai i10,₹4.50 Lakh,Nov 2017,"65,000 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
6,Hyundai Grand i10,₹4.16 Lakh,Feb 2018,"62,098 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1060 kg,165 mm,43 Litres,,
7,Hyundai Grand i10,₹3.77 Lakh,Mar 2017,"40,710 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
8,Jeep Compass,₹8 Lakh,2018,"69,000 Kms",Second Owner,,Manual,4X2,1956 cc,170 bhp,17.1 kmpl,4.0,Yes,5 Seats,1562 s kg,178 mm,,60 Litres,
9,Jeep Compass,₹6.50 Lakh,2017,"1,80,000 Kms",Second Owner,,Manual,4X2,1956 cc,170 bhp,17.1 kmpl,4.0,Yes,5 Seats,1562 s kg,178 mm,,60 Litres,
10,Maruti Suzuki Eeco,₹4.25 Lakh,2021,"80,000 Kms",First Owner,Petrol,Manual,,1196 cc,72.41 bhp,16.11 kmpl,4.0,,5 Seats,940 kg,,40 Litres,,
11,Maruti Suzuki Baleno,₹4.50 Lakh,2017,"60,000 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,83.1 bhp,21.4 kmpl,4.0,No,5 Seats,870 kg,170 mm,37 Litres,,
12,Hyundai i20,₹6.10 Lakh,2020,"87,000 Kms",First Owner,Petrol,Manual,,1197 cc,81.80 bhp,21 kmpl,4.0,No,5 Seats,1120 kg,,37 Litres,,
13,Maruti Suzuki Baleno,₹4.51 Lakh,2019,"80,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.01 kmpl,4.0,No,5 Seats,865-890 kg,170 mm,37 Litres,,
14,Maruti Suzuki Eeco,₹4.10 Lakh,2019,"1,20,000 Kms",First Owner,Petrol,Manual,RWD,1196 cc,73 bhp,15.37 kmpl,4.0,No,5 Seats,928 kg,160 mm,40 Litres,,
15,Maruti Suzuki Eeco,₹3.51 Lakh,2017,"1,02,000 Kms",First Owner,CNG,Manual,RWD,1196 cc,61.7 bhp,21.94 km/kg,4.0,No,5 Seats,1050 kg,160 mm,,,65 Litres
16,Mahindra Bolero Maxi Truck Plus,₹6.30 Lakh,2022,"80,000 Kms",First Owner,Diesel,Manual,RWD,2523 cc,65.03 bhp,17.2 kmpl,4.0,,2 Seats,1620 kg,,,45 Litres,
17,Hyundai Grand i10,₹4.21 Lakh,Aug 2018,"60,933 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1100 kg,165 mm,43 Litres,,
18,Hyundai Grand i10,₹4.21 Lakh,Mar 2017,"64,322 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
19,Hyundai Grand i10,₹3.05 Lakh,Nov 2014,"87,680 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1100 kg,165 mm,43 Litres,,
20,Honda City,₹2 Lakh,2010,"1,60,000 Kms",Second Owner,Petrol,Manual,FWD,1497 cc,,17 kmpl,4.0,No,5 Seats,1100 kg,160 mm,42 Litres,,
21,Hyundai Xcent,₹4.74 Lakh,May 2018,"83,811 Kms",First Owner,Petrol,Manual,,,,,4.0,,,1120 kg,,,,
22,Hyundai Grand i10,₹4.04 Lakh,Apr 2016,"38,540 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1100 kg,165 mm,43 Litres,,
23,Hyundai Grand i10,₹4.01 Lakh,Sept 2016,"70,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,82 bhp,18.9 kmpl,4.0,No,5 Seats,935 kg,165 mm,43 Litres,,
24,Maruti Suzuki Alto 800,₹1.70 Lakh,2014,"70,000 Kms",Second Owner,CNG,Manual,FWD,796 cc,47.3 bhp,30.46 km/kg,3.0,No,5 Seats,720 kg,160 mm,,,4 Litres
25,Hyundai Grand i10,₹3.45 Lakh,Mar 2016,"72,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,82 bhp,18.9 kmpl,4.0,No,5 Seats,935 kg,165 mm,43 Litres,,
26,Maruti Suzuki Celerio X,₹3.45 Lakh,Feb 2019,"71,000 Kms",Second Owner,Petrol,Manual,FWD,998 cc,67 bhp,21.63 kmpl,3.0,No,5 Seats,835s kg,165 mm,35 Litres,,
27,Hyundai Grand i10,₹4.75 Lakh,Apr 2019,"65,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
28,Hyundai Tucson,₹11 Lakh,2019,"90,000 Kms",First Owner,,Automatic,4WD,1995 cc,182.46 bhp,16.38 kmpl,4.0,Yes,5 Seats,1617 kg,195 mm,,62 Litres,
29,Hyundai i10,₹3.75 Lakh,Nov 2016,"91,000 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
30,Hyundai Grand i10,₹3.84 Lakh,Jul 2016,"67,763 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1100 kg,165 mm,43 Litres,,
