url,Price,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Turbo Charger,Super Charge,Transmission Type,Gearbox,Drive Type,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Shock Absorbers Type,Steering Type,Steering Column,Steering Gear Type,Front Brake Type,Rear Brake Type,Length,Width,Height,Seating Capacity,Ground Clearance Unladen,Wheel Base,Kerb Weight,No. of Doors,Global NCAP Safety Rating,Regenerative Braking,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Turning Radius,Alloy Wheel Size Front,Alloy Wheel Size Rear,Boot Space,Rear Tread,Gross Weight,Top Speed,Acceleration,0-100kmph,Front Tread,Ground Clearance,Petrol Highway Mileage,Reported Boot Space,CNG Mileage ARAI,CNG Fuel Tank Capacity,Braking (100-0kmph),0-100Kmph (Tested),Quarter Mile (Tested),City driveability (20-80kmph),Braking (80-0 kmph),Diesel Highway Mileage,Braking (60-0 kmph),Ground Clearance (Laden),Battery Warranty,Quarter Mile,3rd Gear (30-80kmph),4th Gear (40-100kmph),Motor Type,Alternate Fuel,Range,Battery Capacity,Charging Time DC,Charging Time AC,Motor Power,Range - Tested,Battery Type,Charging Time (A.C),Charging Time (D.C),Regenerative Braking Levels,Charging Port,Charging Options,Charger Type,Charging Time (15 A Plug Point),Charging Time (7.2 kW AC Fast Charger),Acceleration 0-60kmph,Charging Time,Fast Charging,Acceleration 0-100kmph,"<a href=""/car-faqs/mg-zs-ev/what-is-the-battery-capacity-of-mg-zs-ev-203.html"" class=""bluelink"" title=""Battery Capacity"">Battery Capacity</a>",Wireless Charging,Charging Time (50 kW DC Fast Charger),Reported Ground Clearance (Unladen),Approach Angle,Break-over Angle,Departure Angle,Emission Control System,Boot Space Rear Seat Folding,Secondary Fuel Type,Petrol Mileage (ARAI),Petrol Fuel Tank Capacity (Litres),Drag Coefficient,CNG Highway Mileage
https://www.cardekho.com/used-car-details/used-Hyundai-verna-crdi-16-sx-option-cars-Lucknow_391b86cb-1f11-477e-b446-3dd525c8b095.htm?adId=20601&adType=41,₹8 Lakh,May 2018,-,Diesel,5 Seats,"90,000 Kms",Kanpur,First Owner,1582 cc,Manual,2018.0,1582 cc,126.2 bhp,22 kmpl,Diesel,6.0,U2 VGT Diesel Engine,1582 cc,126.2bhp@4000rpm,259.87nm@1500-3000rpm,4.0,4.0,DOHC,CRDi,Yes,No,Manual,6 Speed,FWD,22 kmpl,45 Litres,BS IV,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle Type,Gas Filled,Power,Tilt & Telescopic,Rack & Pinion,Disc,Drum,4440 mm,1729 mm,1475 mm,5.0,165 mm,2600 mm,1275 kg,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Volkswagen-tiguan-20-tsi-elegance-cars-New-Delhi_c33c0387-3a39-494d-98f5-eb26c891d263.htm,₹29.90 Lakh,Feb 2024,Zero Dep,Petrol,5 Seats,"10,000 Kms",Chandigarh,First Owner,1984 cc,Automatic,2024.0,1984 cc,187.74 bhp,12.65 kmpl,Petrol,,2.0 TSI,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,4.0,4.0,,,Yes,,Automatic,7-Speed DSG,AWD,,,BS VI 2.0,Multi-link suspension,Multi-link suspension,,Electric,Tilt & Telescopic,,ventilated Disc,Disc,4509 mm,1839 mm,1665 mm,5.0,,2679 mm,1703 kg,5.0,5 Star,Yes,12.65 kmpl,60 Litres,5.39 m,18 Inch,18 Inch,615 Litres,1566 mm,2230 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-dzire-zxi-cars-Kochi_e4614bdc-af71-42bf-b20e-2858244ed5ad.htm,₹3.60 Lakh,Jul 2015,Third Party,Petrol,5 Seats,"1,05,566 Kms",Chengannur,First Owner,1197 cc,Manual,2015.0,1197 cc,88.50 bhp,22.41 kmpl,Petrol,,K12M VVT I4,1197 cc,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,No,,Manual,5-Speed,FWD,,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,,Electric,Tilt,,Disc,Drum,3995 mm,1735 mm,1515 mm,5.0,,2450 mm,880-915 kg,4.0,3 Star,,22.41 kmpl,37 Litres,4.8 m,15 Inch,15 Inch,378 Litres,,1335 kg,155  kmph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Bmw-3-series-gt-luxury-line-cars-Bangalore_3a83bb05-ccd7-4173-9315-7c3341b7c8e5.htm,₹24.75 Lakh,Jan 2017,Comprehensive,Diesel,5 Seats,"46,170 Kms",Bangalore,Second Owner,1995 cc,Automatic,2016.0,1995 cc,188 bhp,,Diesel,,TwinPower Turbo 4-Cylinde,1995 cc,188bhp@4000rpm,400Nm@1750-2500rpm,4.0,4.0,DOHC,CRDi,Yes,No,Automatic,8 Speed,RWD,21.76 kmpl,60 Litres,BS VI,Double Joint Spring Strut,Five Arm,,Power,Adjustable,Rack & Pinion,Disc,Disc,4824 mm,1828 mm,1508 mm,5.0,165 mm,2920 mm,1720 kg,4.0,,,,,5.5 metres,,,,1581 mm,,226  kmph,7.7 Seconds,7.7 Seconds,1541 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Toyota-corolla-altis-d-4d-g-cars-Panchkula_6dfeed15-c1b8-420f-9a08-3d4447e10297.htm?adId=17842&adType=41,₹5.25 Lakh,2014,-,Diesel,5 Seats,"1,20,000 Kms",Chandigarh,First Owner,1364 cc,Manual,2014.0,1364 cc,87.2 bhp,21.43 kmpl,Diesel,,D-4D Diesel Engine,1364 cc,87.2bhp@3800rpm,205Nm@1800-2800rpm,4.0,4.0,DOHC,CRDi,Yes,No,Manual,6 Speed,FWD,21.43 kmpl,50 Litres,BS IV,MacPherson Strut,Torsion Beam,,Power,Tilt & Telescopic,Rack & Pinion,Ventilated Disc,Solid Disc,4620 mm,1776 mm,1475 mm,5.0,175 mm,2700 mm,1230 kg,4.0,,,,,5.4 meters,,,,1534 mm,1670 kg,170  kmph,11.8 Seconds,11.8 Seconds,1529 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Hyundai-creta-16-vtvt-at-sx-plus-cars-Kochi_1b0a3581-ac75-4664-97ea-65e20c169cc2.htm,₹7.25 Lakh,May 2017,Third Party,Petrol,5 Seats,"73,328 Kms",Kozhikode,First Owner,1591 cc,Automatic,2017.0,1591 cc,121.3 bhp,13 kmpl,,,VTVT Petrol Engine,1591 cc,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,DOHC,MPFi,No,No,Automatic,6 Speed,FWD,,,BS VI,MacPherson Strut,Coupled Torsion Beam Axle,Coil Spring,Power,Tilt,Rack & Pinion,Disc,Drum,4270 mm,1780 mm,1630 mm,5.0,190 mm,2590 mm,1280 kg,5.0,,,13 kmpl,55 Litres,5.3 metres,,,,,,,,,,190mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Toyota-glanza-g-cars-Chennai_f25daa6a-7068-4869-bd76-ed1b98fc5e99.htm,₹6.34 Lakh,Dec 2021,Third Party,Petrol,5 Seats,"40,895 Kms",Tiruppur,First Owner,1197 cc,Manual,2021.0,1197 cc,88.50 bhp,22.35 kmpl,Petrol,6.0,1.2 L Petrol Engine,1197 cc,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,Manual,5-Speed,FWD,,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,,Power,Tilt & Telescopic,,Disc,Drum,3990 mm,1745 mm,1500 mm,5.0,,2520 mm,920-955 kg,5.0,,,22.35 kmpl,37 Litres,4.85 m,16 Inch,16 Inch,,,1410 kg,,,,,,21.43 kmpl,318 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-dzire-vxi-cars-Kolkata_0cf88a38-101a-4ead-924b-bc8573f94a40.htm,₹2.91 Lakh,Aug 2015,Third Party,Petrol,5 Seats,"43,822 Kms",Kolkata,Second Owner,1197 cc,Manual,2015.0,1197 cc,88.50 bhp,22.41 kmpl,Petrol,,K12M VVT I4,1197 cc,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,No,,Manual,5-Speed,FWD,,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,,Electric,Tilt,,Disc,Drum,3995 mm,1735 mm,1515 mm,5.0,,2450 mm,880-915 kg,4.0,3 Star,,22.41 kmpl,37 Litres,4.8 m,,,378 Litres,,1335 kg,155  kmph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Hyundai-creta-14-crdi-s-cars-Ahmedabad_a1ebbe92-02be-4dfd-9a23-c465f762801e.htm?adId=17916&adType=41,₹6.80 Lakh,2016,-,Diesel,5 Seats,"1,20,000 Kms",Ahmedabad,First Owner,1396 cc,Manual,2016.0,1396 cc,88.7 bhp,21.38 kmpl,,,U2 CRDI Engine,1396 cc,88.7bhp@4000rpm,219.7Nm@1500-2750rpm,4.0,4.0,DOHC,CRDi,No,No,Manual,6 Speed,FWD,21.38 kmpl,55 Litres,BS VI,MacPherson Strut,Coupled Torsion Beam Axle,Coil Spring,Power,Tilt Steering,Rack & Pinion,Disc,Drum,4270 mm,1780 mm,1630 mm,5.0,190 mm,2590 mm,1240 kg,5.0,,,,,5.3 metres,,,,,,165  kmph,12.5 Seconds,12.5 Seconds,,190mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Renault-kwid-rxt-optional-cars-Pune_b96453b2-f154-4549-b9ea-b62bc27f52f4.htm,₹2.50 Lakh,2019,Third Party,Petrol,5 Seats,"1,34,076 Kms",baramati,Second Owner,799 cc,Manual,2019.0,799 cc,53.3 bhp,25.17 kmpl,Petrol,1.0,Petrol Engine,799 cc,53.3bhp@5678rpm,72Nm@4386rpm,3.0,4.0,DOHC,MPFi,No,No,Manual,5 Speed,FWD,,,BS IV,MacPherson Strut,Twist Beam,,Power,,,Disc,Drum,3679 mm,1579 mm,1478 mm,5.0,180 mm,2422 mm,730 kg,5.0,,,25.17 kmpl,28 Litres,4.9 metres,,,,,,135  kmph,16 Seconds,16 Seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-cng-lxi-cars-Thane_17f5e75b-8c83-4889-a9d7-4a9ff6c2e200.htm,₹5 Lakh,2021,Zero Dep,CNG,5 Seats,"34,000 Kms",kalyan,First Owner,998 cc,Manual,2021.0,998 cc,58.33 bhp,32.52 km/kg,CNG,1.0,K10B Petrol Engine,998 cc,58.33bhp@5500rpm,78Nm@3500rpm,3.0,4.0,DOHC,MPFI,No,No,Manual,5 Speed,FWD,,,BS VI,MacPherson Strut with Coil Spring,Torsion Beam With Coil Spring,,Power,,Rack & Pinion,Disc,Drum,3655 mm,1620 mm,1675 mm,5.0,,2435 mm,905-910 kg,5.0,,,,,4.7 metres,,,,,1340 kg,,18.6 Seconds,18.6 Seconds,,,,,32.52 km/kg,60 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-bsvi-cars-New-Delhi_ec263620-8a1b-47c5-bf85-5bb321db8ce2.htm,₹6.25 Lakh,2022,Comprehensive,Petrol,5 Seats,"73,000 Kms",New Delhi,First Owner,1197 cc,Manual,2022.0,1197 cc,81.80 bhp,16 kmpl,Petrol,2.0,1.2 Kappa Petrol,1197 cc,81.80bhp@6000rpm,113.8Nm@4000rpm,4.0,4.0,,,No,,Manual,5-Speed,,,,BS VI,McPherson strut with coil spring,Coupled torsion beam axle with coil spring,,Power,Tilt,,Disc,Drum,3995 mm,1770 mm,1617 mm,5.0,,2500 mm,1106 kg,5.0,,,,45 Litres,,,,,,,,,,,,18 kmpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
