url,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Top Speed,Drive Type,Fuel,Seating Capacity,Price,Mileage,Length,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Turbo Charger,Super Charge,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Shock Absorbers Type,Steering Type,Steering Column,Steering Gear Type,Turning Radius,Front Brake Type,Rear Brake Type,Acceleration,0-100kmph,Width,Height,Ground Clearance Unladen,Wheel Base,Front Tread,Rear Tread,Kerb Weight,No. of Doors,No. of Airbags,Battery Warranty,Petrol Highway Mileage,Gross Weight,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Ground Clearance (Laden),Global NCAP Safety Rating,Boot Space,Braking (100-0kmph),0-100Kmph (Tested),Quarter Mile (Tested),City driveability (20-80kmph),Braking (80-0 kmph),Ground Clearance,Alloy Wheel Size Front,Alloy Wheel Size Rear,Diesel Highway Mileage,Quarter Mile,Regenerative Braking,Secondary Fuel Type,Alternate Fuel,Range,Battery Capacity,Charging Time DC,Motor Power,Motor Type,Battery Type,Charging Time (D.C),Charging Port,Charging Options,Acceleration 0-100kmph,Charging Time,Fast Charging,LPG Mileage ARAI,LPG Fuel Tank Capacity,Braking (60-0 kmph),Reported Boot Space,3rd Gear (30-80kmph),4th Gear (40-100kmph),Reported Ground Clearance (Unladen),Charging Time AC,"<a href=""/car-faqs/mg-zs-ev/what-is-the-battery-capacity-of-mg-zs-ev-203.html"" class=""bluelink"" title=""Battery Capacity"">Battery Capacity</a>",Charging Time (A.C),Regenerative Braking Levels,Wireless Charging,Charger Type,Charging Time (15 A Plug Point),Charging Time (7.2 kW AC Fast Charger),Charging Time (50 kW DC Fast Charger),Range - Tested,Emission Control System,CNG Mileage ARAI,CNG Fuel Tank Capacity,Boot Space Rear Seat Folding,Petrol Fuel Tank Capacity (Litres),Petrol Mileage WLTP
https://www.cardekho.com/used-car-details/used-Mini-cooper-countryman-2018-2021-cooper-s-jcw-inspired-cars-Bangalore_18ca46db-90fa-4cf1-b4ba-db8f05a5e85e.htm?adId=16580&adType=41,2018,-,Petrol,5 Seats,"30,000 Kms",Bangalore,First Owner,1998 cc,Automatic,2018,1998 cc,189.08 bhp,225 kmph,AWD,Petrol,5.0,₹33 Lakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Hyundai-i20-sportz-12-cars-Bangalore_7df4f53f-c332-407b-bf22-8eafa5c96570.htm,May 2017,-,Petrol,5 Seats,"30,000 Kms",Bangalore,First Owner,1197 cc,Manual,2017,1197 cc,81.83 bhp,170  kmph,FWD,Petrol,5.0,₹6.10 Lakh,18.6 kmpl,3985 mm,Kappa VTVT Petrol Engine,1197 cc,81.83bhp@6000rpm,114.7Nm@4000rpm,4.0,4.0,DOHC,MPFI,No,No,Manual,5 Speed,18.6 kmpl,45 Litres,BS IV,MacPherson Strut,Coupled Torsion Beam,Gas Filled,Power,Tilt & Telescopic,Rack & Pinion,5.2 meters,Disc,Drum,13.2 Seconds,13.2 Seconds,1734 mm,1505 mm,170 mm,2570 mm,1505 mm,1503 mm,1066 kg,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Hyundai-i20-asta-opt-bsvi-cars-Bangalore_b13dbf1d-b492-4e05-8298-0ec94c66c580.htm,Jul 2021,Comprehensive,Petrol,5 Seats,"49,000 Kms",Bangalore,First Owner,1197 cc,Manual,2021,1197 cc,81.80 bhp,,,Petrol,5.0,₹7.25 Lakh,21 kmpl,3995 mm,1.2 l Kappa petrol,1197 cc,81.80bhp@6000rpm,114.74Nm@4200rpm,4.0,4.0,,,No,,Manual,5 Speed,21 kmpl,37 Litres,BS VI,McPherson Strut,Coupled torsion beam axle,Gas Filled,Electric,Tilt & telescopic,Rack&Pinion,,Disc,Drum,,,1775 mm,1505 mm,,2580 mm,,,1170 kg,5.0,6.0,Yes,21 kmpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Volkswagen-vento-12-tsi-highline-at-cars-Bangalore_013fc818-a77b-4d18-bcf1-da70117f1d26.htm,Jan 2026,Comprehensive,Petrol,5 Seats,"81,000 Kms",Bangalore,First Owner,1197 cc,Automatic,2017,1197 cc,103.2 bhp,185  kmph,FWD,Petrol,5.0,₹6.85 Lakh,18.19 kmpl,4390 mm,TSI Petrol Engine,1197 cc,103.2bhp@5000rpm,175Nm@1500-4100rpm,4.0,4.0,SOHC,Direct Injection,Yes,No,Automatic,7 Speed,18.19 kmpl,55 Litres,BS IV,MacPherson Strut,Semi Indpendent Trailing Arm,,Power,Tilt & Telescopic,Rack & Pinion,5.4 metres,Ventilated Disc,Drum,12.3 Seconds,12.3 Seconds,1699 mm,1467 mm,163 mm,2553 mm,1457 mm,1500 mm,1179 kg,4.0,,,,1720 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Volvo-s60-d4-momentum-bsiv-cars-Bangalore_68cc26f5-52b3-4124-b684-9af319a03516.htm?adId=17499&adType=41,2015,-,Diesel,5 Seats,"80,000 Kms",Bangalore,First Owner,1969 cc,Automatic,2015,1969 cc,190 bhp,230  kmph,FWD,Diesel,5.0,₹19 Lakh,,4635 mm,Turbo Diesel Engine,1969 cc,190bhp,400Nm,4.0,4.0,DOHC,CRDI,Yes,No,Automatic,8 Speed,,,BS IV,MacPherson Strut,Multi Link,,Power,Adjustable & Collapsible,Rack & Pinion,5.65 metres,Disc,Disc,9.2 Seconds,9.2 Seconds,2097 mm,1484 mm,136 mm,2776 mm,1588 mm,1585 mm,1652 kg,4.0,,,,2060 kg,27.03 kmpl,67 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-turbo-cars-Bangalore_912a0af2-945a-40d7-ac10-4e0f9643dd88.htm,Mar 2021,-,Petrol,5 Seats,"81,000 Kms",Mangalore,First Owner,998 cc,Manual,2021,998 cc,118.35 bhp,,FWD,Petrol,5.0,₹6.75 Lakh,18.27 kmpl,3995 mm,Kappa 1.0 L Turbo GDi Petrol,998 cc,118.35bhp@6000rpm,171.6Nm@1500-4000rpm,3.0,4.0,,GDi,Yes,,Manual,6-Speed,18.27 kmpl,45 Litres,BS VI,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle with Coil Spring,,Electric,Tilt,Rack & Pinion,,Disc,Drum,,,1770 mm,1605 mm,,2500 mm,,,1200 kg,5.0,,,,,,,190mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Volkswagen-vento-12-tsi-highline-at-cars-Bangalore_5f10cf1d-1e94-4228-8277-71ccd095b046.htm,Sept 2017,Comprehensive,Petrol,5 Seats,"76,300 Kms",Bangalore,Second Owner,1197 cc,Automatic,2017,1197 cc,103.2 bhp,185  kmph,FWD,Petrol,5.0,₹5.95 Lakh,18.19 kmpl,4390 mm,TSI Petrol Engine,1197 cc,103.2bhp@5000rpm,175Nm@1500-4100rpm,4.0,4.0,SOHC,Direct Injection,Yes,No,Automatic,7 Speed,18.19 kmpl,55 Litres,BS IV,MacPherson Strut,Semi Indpendent Trailing Arm,,Power,Tilt & Telescopic,Rack & Pinion,5.4 metres,Ventilated Disc,Drum,12.3 Seconds,12.3 Seconds,1699 mm,1467 mm,163 mm,2553 mm,1457 mm,1500 mm,1179 kg,4.0,,,,1720 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/buy-used-car-details/used-Hyundai-grand-i10-12-kappa-magna-bsiv-cars-Bangalore_75848fbf-5d75-4409-af41-ba86990b312b.htm,Nov 2018,Comprehensive,Petrol,5 Seats,"53,995 Kms",Bangalore,First Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,165  kmph,FWD,Petrol,5.0,₹4.45 Lakh,18.9 kmpl,3765 mm,Kappa VTVT Petrol Engine,1197 cc,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,No,No,Manual,5 Speed,18.9 kmpl,43 Litres,,MacPherson Strut,Coupled Torsion Beam Axle,Gas Filled,Power,,Rack & Pinion,4.8 metres,Disc,Drum,12.9 Seconds,12.9 Seconds,1660 mm,1520 mm,165 mm,2425 mm,1479 mm,1493 mm,1100 kg,5.0,2.0,,22.19 kmpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Bmw-x1-sdrive20d-cars-Bangalore_f25f257e-20a0-479c-a277-a326babb31fb.htm?adId=18933&adType=41,2014,Third Party,Diesel,5 Seats,"1,20,000 Kms",Mumbai,Third Owner,1995 cc,Automatic,2014,1995 cc,184 bhp,205  kmph,RWD,Diesel,5.0,₹11 Lakh,,4477 mm,sDrive20d Diesel Engine,1995 cc,184bhp@4000rpm,380Nm@1750-2750rpm,4.0,4.0,,CRDi,Yes,No,Automatic,8-Speed,,,BS IV,Double Joint Strut Fron Axle,Multi Arm Rear Axle,,Power,Tilt,Rack & Pinion,5.8 meters,Ventilated Discs,Ventilated Discs,7.9 Seconds,7.9 Seconds,2058 mm,1545 mm,179 mm,2760 mm,1501 mm,1529 mm,1485 kg,5.0,,,,,17.05 kmpl,61 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Mini-cooper-countryman-2018-2021-cooper-s-jcw-inspired-cars-Bangalore_18ca46db-90fa-4cf1-b4ba-db8f05a5e85e.htm,2018,-,Petrol,5 Seats,"30,000 Kms",Bangalore,First Owner,1998 cc,Automatic,2018,1998 cc,189.08 bhp,225  kmph,AWD,Petrol,5.0,₹33 Lakh,,4299 mm,Petrol Engine,1998 cc,189.08bhp@5000-6000rpm,280Nm@1350rpm,4.0,4.0,DOHC,MPFI,Yes,No,Automatic,8 Speed,16.6 kmpl,51 Litres,BS VI,Single-Link Spring-Strut,Multiple-Control-Arm,,Power,Tilt Adjustable Steering,Rack & Pinion,6.0 metres,Disc,Drum,7.5 Seconds,7.5 Seconds,1822 mm,1557 mm,149 mm,2595 mm,1534 mm,1559 mm,1535 kg,5.0,,,,2050 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
