url,Price,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Top Speed,Drive Type,Fuel,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Turbo Charger,Super Charge,Transmission Type,Gearbox,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Steering Gear Type,Turning Radius,Front Brake Type,Rear Brake Type,Acceleration,0-100kmph,Length,Width,Height,Seating Capacity,Ground Clearance Unladen,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,No. of Doors,Mileage,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Petrol Highway Mileage,Ground Clearance,Global NCAP Safety Rating,Boot Space,Shock Absorbers Type,Range,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Warranty,Charging Time (A.C),Charging Time (D.C),Charging Port,Acceleration 0-100kmph,Charging Time,Fast Charging,Braking (100-0kmph),Quarter Mile (Tested),City driveability (20-80kmph),Braking (80-0 kmph),No. of Airbags,Diesel Highway Mileage,Braking (60-0 kmph),Alloy Wheel Size Front,Alloy Wheel Size Rear,Reported Boot Space,Reported Ground Clearance (Unladen),Drag Coefficient,Quarter Mile,0-100Kmph (Tested),Ground Clearance (Laden),Boot Space Rear Seat Folding,Motor Power,Battery Type,Regenerative Braking,Regenerative Braking Levels,Charging Options,Charger Type,Charging Time (15 A Plug Point),Charging Time (7.2 kW AC Fast Charger),Charging Time (50 kW DC Fast Charger),Petrol Mileage WLTP,3rd Gear (30-80kmph),4th Gear (40-100kmph),Range - Tested,Acceleration 0-60kmph,Emission Control System,Approach Angle,Break-over Angle,Departure Angle,CNG Mileage ARAI,CNG Fuel Tank Capacity,Secondary Fuel Type,Petrol Mileage (ARAI),Petrol Fuel Tank Capacity (Litres)
https://www.cardekho.com/used-car-details/used-Land-rover-range-rover-30-diesel-lwb-vogue-cars-Gurgaon_e77c1e2c-af8c-4db4-858f-18a99797dc7b.htm,₹1.40 Crore,Jul 2021,Zero Dep,Diesel,5 Seats,"48,554 Kms",Gurgaon,First Owner,2995 cc,Automatic,2021,2995 cc,335.25 bhp,210  kmph,4WD,Diesel,3.0 litre Petrol Engine,2995 cc,335.25bhp@6500rpm,450nm@3500-5000rpm,6,4,DOHC,Direct Injection,Yes,No,Automatic,8 Speed,13.33 kmpl,85 Litres,BS VI,Air Suspension,Air Suspension,Power,Tilt & Telescopic,Rack & Pinion,6.15 metres,Disc,Disc,8.3 Seconds,8.3 Seconds,5200 mm,2220 mm,1868 mm,5,295.5 mm,3120 mm,1690 mm,1683 mm,2330 kg,3000 kg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-dct-cars-Gurgaon_c18b1275-3f1f-4d98-aeb2-4ad8ada1d907.htm,₹8.50 Lakh,2020,-,Petrol,5 Seats,"1,20,000 Kms",New Delhi,First Owner,1353 cc,Automatic,2020,1353 cc,138.08 bhp,,FWD,Petrol,Smartstream G1.4,1353 cc,138.08bhp@6000rpm,242nm@1500-3200rpm,4,4,,GDi,Yes,,Automatic,7-Speed DCT,,,BS VI,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle with Coil Spring,Electric,Tilt & Telescopic,,,Disc,Disc,,,4315 mm,1800 mm,1645 mm,5,,2610 mm,,,1535 kg,,5,16.5 kmpl,16.5 kmpl,50 Litres,18.03 kmpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-bsvi-cars-Greater-Noida_32af021a-a93b-4165-9de8-5509abb9a2ab.htm,₹6.65 Lakh,2021,Zero Dep,Petrol,5 Seats,"35,000 Kms",New Delhi,First Owner,998 cc,Manual,2021,998 cc,118.36 bhp,,FWD,Petrol,Smartstream G1.0 T - GDi,998 cc,118.36bhp@6000rpm,172Nm@1500-4000rpm,3,4,,GDi,Yes,,Manual,6-Speed iMT,,,BS VI,McPherson Strut with Coil Spring,Coupled Torsion Beam Axle with Coil Spring,Electric,Tilt,,,Disc,Drum,,,3995 mm,1790 mm,1642 mm,5,,2500 mm,,,1201 kg,,5,18.2 kmpl,18.2 kmpl,45 Litres,15.33 kmpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-bsvi-cars-New-Delhi_1b0de125-4ca7-41c9-8de4-afbb712af27c.htm,₹10.83 Lakh,Jun 2022,Comprehensive,Petrol,4 Seats,"37,000 Kms",Faridabad,First Owner,1997 cc,Manual,2022,1997 cc,150 bhp,,4X4,,mStallion 150 TGDi Engine,1997 cc,150bhp@5000rpm,300Nm@1250-3000rpm,4,4,,,Yes,,Manual,6 Speed,,,BS VI,Independent Double Wishbone Front Suspension with Coil Over Damper & Stabiliser Bar,Multilink Solid Rear Axle with Coil Over Damper & Stabiliser Bar,Power,Tilt,,,Disc,Drum,,,3985 mm,1855 mm,1844 mm,4,226 mm,2450 mm,1520 mm,1520 mm,1815 kg,,3,15.2 kmpl,15.2 kmpl,57 Litres,10 kmpl,226mm,4 Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Hyundai-creta-e-diesel-cars-Noida_4e5ac1db-362d-43d5-aeef-bc6b5c8c32e6.htm,₹13 Lakh,May 2023,Comprehensive,Diesel,5 Seats,"12,000 Kms",Noida,First Owner,1493 cc,Manual,2023,1493 cc,113.98 bhp,195 kmph,2WD,Diesel,1.5 L U2 CRDi Diesel,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,4,4,DOHC,CRDi,Yes,,Manual,6-Speed,18 kmpl,50 Litres,BS VI 2.0,McPherson strut with coil spring,Coupled torsion beam axle,Power,Tilt,,,Disc,Disc,,,4300 mm,1790 mm,1635 mm,5,,2610 mm,,,1430 kg,,5,18 kmpl,,,,,,433 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Hyundai-i20-asta-12-cars-Gurgaon_d05304b1-c6ee-4ce1-ad2c-d86cb8b0d1ea.htm,₹5.50 Lakh,2017,Comprehensive,Petrol,5 Seats,"80,000 Kms",New Delhi,Third Owner,1197 cc,Manual,2017,1197 cc,81.83 bhp,170  kmph,FWD,Petrol,Kappa VTVT Petrol Engine,1197 cc,81.83bhp@6000rpm,114.7Nm@4000rpm,4,4,DOHC,MPFI,No,No,Manual,5 Speed,,,BS IV,MacPherson Strut,Coupled Torsion Beam,Power,Tilt & Telescopic,Rack & Pinion,5.2 meters,Disc,Drum,13.2 Seconds,13.2 Seconds,3985 mm,1734 mm,1505 mm,5,170 mm,2570 mm,1505 mm,1503 mm,1066 kg,,5,18.6 kmpl,18.6 kmpl,45 Litres,,,,,Gas Filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Tata-nexon-ev-xz-plus-lux-cars-New-Delhi_94fddfa4-e238-4478-a968-29fd85453ac3.htm,₹9.25 Lakh,2020,-,Electric,5 Seats,"72,000 Kms",New Delhi,Second Owner,,Automatic,2020,,127 bhp,,,,,,127bhp,245Nm,,,,,,,Automatic,,,,ZEV,Independent MacPherson strut with coil spring,Twist beam with dual path Strut,Electric,Adjustable,Rack & Pinion,5.1m,Disc,Drum,,,3993 mm,1811 mm,1606 mm,5,205 mm,2498 mm,,,1400 kg,,5,,,,,,5 Star,,,312 km,30.2 kWh,60 Mins,9.16 Hours,Permanent Magnet Synchronous Motor,8years,9.16 Hours,60 Mins,CCS-I,9.9,60 Min(0-80%),Yes,49.25m,19.00s@113.35kmph,"7.33s (S),13.74s(D)",30.37m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Maruti-ertiga-zxi-at-petrol-cars-Gurgaon_2678fa7b-67cf-4910-bea8-fdfe9edcd29b.htm,₹7.50 Lakh,2019,-,Petrol,7 Seats,"60,000 Kms",Ghaziabad,Second Owner,1462 cc,Automatic,2019,1462 cc,103 bhp,,2WD,Petrol,K15 Smart Hybrid,1462 cc,103bhp@6000rpm,138Nm@4400rpm,4,4,DOHC,MPFI,No,No,Automatic,4 Speed,,,BS IV,MacPherson Strut,Torsion Beam and Coil Spring,Power,,,5.2 metres,Ventilated Disc,Drum,,,4395 mm,1735 mm,1690 mm,7,,2740 mm,1510 mm,1520 mm,1170 kg,1740 kg,5,18.69 kmpl,18.69 kmpl,45 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-crdi-sportz-cars-Gurgaon_f502fa40-8c9c-43f2-8f96-4e2df94603de.htm,₹4.20 Lakh,2019,-,Diesel,5 Seats,"60,000 Kms",New Delhi,First Owner,1186 cc,Manual,2019,1186 cc,73.97 bhp,151.63  kmph,FWD,Diesel,U2 CRDi  Diesel Engine,1186 cc,73.97bhp@4000rpm,190.24nm@1750-2250rpm,3,4,DOHC,CRDi,No,No,Manual,5 Speed,24 kmpl,43 Litres,,MacPherson Strut,Coupled Torsion Beam Axle,Power,Tilt,Rack & Pinion,4.8 metres,Disc,Drum,13.21 Seconds,13.21 Seconds,3765 mm,1660 mm,1520 mm,5,165 mm,2425 mm,1479 mm,1493 mm,1120 kg,,5,24 kmpl,,,,,,,Gas Filled,,,,,,,,,,,,,47m,,,,2,22.19 kmpl,28.3m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Volkswagen-polo-exquisite-12-mpi-highline-cars-New-Delhi_9a40d136-510f-4dbf-8bcb-f688b5d66952.htm,₹3.20 Lakh,2015,-,Petrol,5 Seats,"60,000 Kms",Rewari,First Owner,1198 cc,Manual,2015,1198 cc,74 bhp,165  kmph,FWD,Petrol,MPI Petrol Engine,1198 cc,74bhp@5400rpm,110Nm@3750rpm,3,4,DOHC,MPFI,No,No,Manual,5 Speed,,,BS IV,MacPherson Strut,Semi Independent Trailing Arm,Power,Tilt & Telescopic,Rack & Pinion,4.97 meters,Disc,Drum,14.2 Seconds,14.2 Seconds,3971 mm,1682 mm,1469 mm,5,165 mm,2469 mm,1460 mm,1456 mm,1053 kg,1520 kg,5,16.47 kmpl,16.47 kmpl,45 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
