url,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Ground Clearance,Power,Seating Capacity,Drive Type,Mileage,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance (Laden),Ground Clearance Unladen,Wheel Base,Kerb Weight,Gross Weight,No. of Doors,Price,Fuel,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Alloy Wheel Size Front,Alloy Wheel Size Rear,Boot Space,Reported Ground Clearance (Unladen),Top Speed,Reported Boot Space,Global NCAP Safety Rating,Petrol Highway Mileage,Front Tread,Rear Tread,Valve Configuration,Super Charge,Shock Absorbers Type,Turning Radius,No. of Airbags,Acceleration,0-100kmph,Steering Gear Type,Range,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Time (A.C),Charging Time (D.C),Charging Port,Acceleration 0-100kmph,Braking (100-0kmph),0-100Kmph (Tested),City driveability (20-80kmph),Braking (80-0 kmph),Diesel Highway Mileage,Secondary Fuel Type,Quarter Mile,Braking (60-0 kmph),"<a href=""/car-faqs/mg-zs-ev/what-is-the-battery-capacity-of-mg-zs-ev-203.html"" class=""bluelink"" title=""Battery Capacity"">Battery Capacity</a>",Motor Power,Battery Warranty,Regenerative Braking,Regenerative Braking Levels,Charging Options,Charger Type,Charging Time (15 A Plug Point),Charging Time (7.2 kW AC Fast Charger),Charging Time (50 kW DC Fast Charger),Charging Time,Fast Charging,Boot Space Rear Seat Folding,Wireless Charging,Approach Angle,Break-over Angle,Departure Angle,CNG Mileage ARAI,CNG Fuel Tank Capacity,Drag Coefficient,Quarter Mile (Tested),3rd Gear (30-80kmph),4th Gear (40-100kmph),Emission Control System,Acceleration 0-60kmph,Petrol Mileage (ARAI),Petrol Fuel Tank Capacity (Litres),Petrol City Mileage,CNG Highway Mileage
https://www.cardekho.com/used-car-details/used-Skoda-kushaq-10-tsi-ambition-at-bsvi-cars-Mumbai_a1b3a683-6d09-4afc-880d-f72c64e39c28.htm?adId=15871&adType=41,2022,-,Petrol,5 Seats,"30,000 Kms",Mumbai,First Owner,999 cc,Automatic,2022,999 cc,188mm,113.98 bhp,5.0,FWD,17.2 kmpl,1.0 TSI Petrol Engine,999 cc,113.98bhp@5000-5500rpm,178Nm@1750-4500rpm,3.0,4.0,TSI,Yes,Automatic,6-speed,17.2 kmpl,50 Litres,BS VI,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,Disc,Drum,4225 mm,1760 mm,1612 mm,155mm,188 mm,2651 mm,1245-1280 kg,1660 kg,5.0,₹11.25 Lakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-diesel-at-cars-Mumbai_96e812b5-2d56-4248-881e-47a9db473057.htm,Jun 2023,Zero Dep,Diesel,5 Seats,"22,527 Kms",kalyan,First Owner,1493 cc,Automatic,2023,,,,5.0,2WD,19.1 kmpl,1.5 T-CRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,4.0,4.0,CRDi,Yes,Automatic,6-Speed,,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,Disc,Disc,4365 mm,1800 mm,1645 mm,,,2610 mm,,,5.0,₹18.75 Lakh,Diesel,19.1 kmpl,50 Litres,18 Inch,18 Inch,433 Litres,190 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-cvt-7-str-2023-2025-cars-Mumbai_32b0fbf7-3a87-45ee-950d-610b55f8d99d.htm,Aug 2024,Comprehensive,Petrol,7 Seats,"8,000 Kms",Mumbai,First Owner,1451 cc,Automatic,2024,1451 cc,,141.04 bhp,7.0,FWD,12.34 kmpl,1.5L Turbocharged Intercooled,1451 cc,141.04bhp@5000rpm,250Nm@1600-3600rpm,4.0,4.0,,Yes,Automatic,CVT,12.34 kmpl,60 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,Disc,Disc,4699 mm,1835 mm,1760 mm,,,2750 mm,,,5.0,₹19.49 Lakh,Petrol,,,18 Inch,18 Inch,,,195  kmph,587 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-opt-dct-cars-Mumbai_5894e9d6-1845-41fd-a55f-af77b41e176d.htm,Mar 2024,-,Petrol,7 Seats,"20,277 Kms",Mumbai,First Owner,1482 cc,Automatic,2024,1482 cc,,157.81 bhp,7.0,FWD,,1.5L TGDI Smartstream,1482 cc,157.81bhp@5500rpm,253Nm@1500-3500rpm,4.0,4.0,GDi,Yes,Automatic,7-Speed DCT,17.9 kmpl,45 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,Disc,Disc,4540 mm,1800 mm,1708 mm,,,2780 mm,,,5.0,₹17.95 Lakh,Petrol,,,16 Inch,16 Inch,210 Litres,,174  kmph,,3 Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Renault-kiger-rxz-cars-Navi-Mumbai_88059883-6867-417a-939e-164129c9b208.htm?adId=17550&adType=41,2022,Comprehensive,Petrol,5 Seats,"20,000 Kms",220B,First Owner,999 cc,Manual,2022,999 cc,205,71.01 bhp,5.0,,19.17 kmpl,1.0L energy,999 cc,71.01bhp@6250rpm,96Nm@3500rpm,3.0,4.0,MPFi,,Manual,5 Speed,19.17 kmpl,40 Litres,BS VI,Mac Pherson strut with lower transverse link,Twist beam suspension with coil spring,Electric,Tilt,Disc,Drum,3991 mm,1750 mm,1605 mm,,205 mm,2500 mm,1012 kg,,5.0,₹5.52 Lakh,Petrol,,,,,,,,,,17 kmpl,1536 mm,1535 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-cars-Mumbai_e7320bf5-c58d-4fe3-959f-479de1e9d294.htm,Apr 2023,Comprehensive,Petrol,5 Seats,"27,802 Kms",Thane,First Owner,1497 cc,Automatic,2023,,,,5.0,2WD,17.7 kmpl,SmartStream G1.5,1497 cc,113.42bhp@6300rpm,144Nm@4500rpm,4.0,4.0,MPi,No,Automatic,IVT,17.7 kmpl,50 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,Disc,Disc,4365 mm,1800 mm,1645 mm,,,2610 mm,,,5.0,₹14.25 Lakh,Petrol,,,17 Inch,17 Inch,433 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Skoda-kushaq-10-tsi-ambition-at-bsvi-cars-Mumbai_a1b3a683-6d09-4afc-880d-f72c64e39c28.htm?adId=15871&adType=41,2022,-,Petrol,5 Seats,"30,000 Kms",Mumbai,First Owner,999 cc,Automatic,2022,999 cc,188mm,113.98 bhp,5.0,FWD,17.2 kmpl,1.0 TSI Petrol Engine,999 cc,113.98bhp@5000-5500rpm,178Nm@1750-4500rpm,3.0,4.0,TSI,Yes,Automatic,6-speed,17.2 kmpl,50 Litres,BS VI,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,Electric,Tilt & Telescopic,Disc,Drum,4225 mm,1760 mm,1612 mm,155mm,188 mm,2651 mm,1245-1280 kg,1660 kg,5.0,₹11.25 Lakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-diesel-at-cars-Mumbai_96e812b5-2d56-4248-881e-47a9db473057.htm,Jun 2023,Zero Dep,Diesel,5 Seats,"22,527 Kms",kalyan,First Owner,1493 cc,Automatic,2023,,,,5.0,2WD,19.1 kmpl,1.5 T-CRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,4.0,4.0,CRDi,Yes,Automatic,6-Speed,,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,Disc,Disc,4365 mm,1800 mm,1645 mm,,,2610 mm,,,5.0,₹18.75 Lakh,Diesel,19.1 kmpl,50 Litres,18 Inch,18 Inch,433 Litres,190 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-cvt-7-str-2023-2025-cars-Mumbai_32b0fbf7-3a87-45ee-950d-610b55f8d99d.htm,Aug 2024,Comprehensive,Petrol,7 Seats,"8,000 Kms",Mumbai,First Owner,1451 cc,Automatic,2024,1451 cc,,141.04 bhp,7.0,FWD,12.34 kmpl,1.5L Turbocharged Intercooled,1451 cc,141.04bhp@5000rpm,250Nm@1600-3600rpm,4.0,4.0,,Yes,Automatic,CVT,12.34 kmpl,60 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,Disc,Disc,4699 mm,1835 mm,1760 mm,,,2750 mm,,,5.0,₹19.49 Lakh,Petrol,,,18 Inch,18 Inch,,,195  kmph,587 Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-opt-dct-cars-Mumbai_5894e9d6-1845-41fd-a55f-af77b41e176d.htm,Mar 2024,-,Petrol,7 Seats,"20,277 Kms",Mumbai,First Owner,1482 cc,Automatic,2024,1482 cc,,157.81 bhp,7.0,FWD,,1.5L TGDI Smartstream,1482 cc,157.81bhp@5500rpm,253Nm@1500-3500rpm,4.0,4.0,GDi,Yes,Automatic,7-Speed DCT,17.9 kmpl,45 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,Disc,Disc,4540 mm,1800 mm,1708 mm,,,2780 mm,,,5.0,₹17.95 Lakh,Petrol,,,16 Inch,16 Inch,210 Litres,,174  kmph,,3 Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
