Registration Year,Insurance,Fuel,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Power,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Super Charge,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port
2022.0,Unknown,,5.0,27000 - 42143,1,796 - 1197,Automatic,108 - 138,FWD,17 - 18,Standard,101 - 121,4400 - 6000,146 - 242,4000 - 4500,3.0,4.0,Direct Injection,Yes,Automatic,6.0,Not Applicable,Not Applicable,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,3995 - 4420,1710 - 1780,1530 - 1640,178 - 307,2650 - 3215,1520 - 1755,1125000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Zero Dep,Diesel,5.0,500 - 27000,1,1199 - 1497,Automatic,72 - 78,2WD,18 - 21,Standard,101 - 121,3000 - 4400,242 - 750,1400 - 2800,4.0,4.0,CRDi,Yes,Automatic,6.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,3995 - 4420,1780 - 2230,1640 - 1995,163 - 165,2550 - 2650,Unknown,1875000.0,17 - 25,45 - 60,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2024.0,Comprehensive,Petrol,7.0,500 - 27000,1,1199 - 1497,Automatic,138 - 536,FWD,5 - 17,Turbocharged,121 - 536,4400 - 6000,242 - 750,3500 - 4000,4.0,4.0,Direct Injection,Yes,Automatic,6.0,7 - 17,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1640 - 1995,100 - 163,2650 - 3215,Unknown,1948999.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2024.0,Unknown,Petrol,7.0,500 - 27000,1,1199 - 1497,Automatic,138 - 536,FWD,18 - 21,Standard,121 - 536,4400 - 6000,242 - 750,2800 - 3500,4.0,4.0,Direct Injection,Yes,Automatic,7.0,17 - 18,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1640 - 1995,165 - 170,2650 - 3215,Unknown,1795000.0,Not Applicable,Not Applicable,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2022.0,Comprehensive,Petrol,5.0,500 - 27000,1,796 - 1197,Manual,34 - 72,FWD,18 - 21,Standard,34 - 73,6000 - 7900,11 - 101,2800 - 3500,3.0,4.0,MPFi,Yes,Manual,5.0,18 - 20,35 - 40,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1710 - 1780,1530 - 1640,178 - 307,2456 - 2550,Unknown,552000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Comprehensive,Petrol,5.0,27000 - 42143,1,1199 - 1497,Automatic,72 - 78,2WD,17 - 18,Standard,101 - 121,6000 - 7900,113 - 146,4000 - 4500,4.0,4.0,MPFi,No,Automatic,6.0,17 - 18,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,3995 - 4420,1780 - 2230,1640 - 1995,178 - 307,2550 - 2650,Unknown,1425000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2022.0,Unknown,,5.0,27000 - 42143,1,796 - 1197,Automatic,108 - 138,FWD,17 - 18,Standard,101 - 121,4400 - 6000,146 - 242,4000 - 4500,3.0,4.0,Direct Injection,Yes,Automatic,6.0,Not Applicable,Not Applicable,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,3995 - 4420,1710 - 1780,1530 - 1640,178 - 307,2650 - 3215,1520 - 1755,1125000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Zero Dep,Diesel,5.0,500 - 27000,1,1199 - 1497,Automatic,72 - 78,2WD,18 - 21,Standard,101 - 121,3000 - 4400,242 - 750,1400 - 2800,4.0,4.0,CRDi,Yes,Automatic,6.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,3995 - 4420,1780 - 2230,1640 - 1995,165 - 170,2550 - 2650,Unknown,1875000.0,17 - 25,45 - 60,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2024.0,Comprehensive,Petrol,7.0,500 - 27000,1,1199 - 1497,Automatic,138 - 536,FWD,5 - 17,Turbocharged,121 - 536,4400 - 6000,242 - 750,3500 - 4000,4.0,4.0,MPFi,Yes,Automatic,6.0,7 - 17,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1640 - 1995,170 - 178,2650 - 3215,Unknown,1948999.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2024.0,Unknown,Petrol,7.0,500 - 27000,1,1199 - 1497,Automatic,138 - 536,FWD,17 - 18,Standard,121 - 536,4400 - 6000,242 - 750,2800 - 3500,4.0,4.0,Direct Injection,Yes,Automatic,7.0,17 - 18,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1640 - 1995,100 - 163,2650 - 3215,Unknown,1795000.0,Not Applicable,Not Applicable,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
