Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Power,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Super Charge,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port
2022.0,Unknown,Petrol,5.0,30000,1,999,Automatic,113.98 bhp,FWD,17.2,Standard,113.98,5500.0,178.0,4500.0,3.0,4.0,Direct Injection,Yes,Automatic,6.0,17.2,50.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,4225.0,1760.0,1612.0,188.0,2651.0,1660.0,1125000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Zero Dep,Diesel,5.0,22527,1,1493,Automatic,,2WD,19.1,Standard,114.41,4000.0,250.0,2750.0,4.0,4.0,CRDi,Yes,Automatic,6.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4365.0,1800.0,1645.0,165.0,2610.0,Unknown,1875000.0,19.1,50.0,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Comprehensive,Petrol,7.0,8000,1,1451,Automatic,141.04 bhp,FWD,12.34,Turbocharged,141.04,5000.0,250.0,3600.0,4.0,4.0,MPFi,Yes,Automatic,6.0,12.34,60.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,4699.0,1835.0,1760.0,160.0,2750.0,Unknown,1948999.0,Not Applicable,Not Applicable,195,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Unknown,Petrol,7.0,20277,1,1482,Automatic,157.81 bhp,FWD,14.7,Standard,157.81,5500.0,253.0,3500.0,4.0,4.0,Direct Injection,Yes,Automatic,7.0,17.9,45.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4540.0,1800.0,1708.0,167.0,2780.0,Unknown,1795000.0,Not Applicable,Not Applicable,174,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2022.0,Comprehensive,Petrol,5.0,20000,1,999,Manual,71.01 bhp,FWD,19.17,Standard,71.01,6250.0,96.0,3500.0,3.0,4.0,MPFi,Yes,Manual,5.0,19.17,40.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3991.0,1750.0,1605.0,205.0,2500.0,Unknown,552000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Comprehensive,Petrol,5.0,27802,1,1497,Automatic,,2WD,17.7,Standard,113.42,6300.0,144.0,4500.0,4.0,4.0,MPFi,No,Automatic,6.0,17.7,50.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4365.0,1800.0,1645.0,170.0,2610.0,Unknown,1425000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2022.0,Unknown,Petrol,5.0,30000,1,999,Automatic,113.98 bhp,FWD,17.2,Standard,113.98,5500.0,178.0,4500.0,3.0,4.0,Direct Injection,Yes,Automatic,6.0,17.2,50.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,4225.0,1760.0,1612.0,188.0,2651.0,1660.0,1125000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Zero Dep,Diesel,5.0,22527,1,1493,Automatic,,2WD,19.1,Standard,114.41,4000.0,250.0,2750.0,4.0,4.0,CRDi,Yes,Automatic,6.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4365.0,1800.0,1645.0,188.0,2610.0,Unknown,1875000.0,19.1,50.0,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Comprehensive,Petrol,7.0,8000,1,1451,Automatic,141.04 bhp,FWD,12.34,Turbocharged,141.04,5000.0,250.0,3600.0,4.0,4.0,MPFi,Yes,Automatic,6.0,12.34,60.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,4699.0,1835.0,1760.0,170.0,2750.0,Unknown,1948999.0,Not Applicable,Not Applicable,195,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Unknown,Petrol,7.0,20277,1,1482,Automatic,157.81 bhp,FWD,18.24,Standard,157.81,5500.0,253.0,3500.0,4.0,4.0,Direct Injection,Yes,Automatic,7.0,17.9,45.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,4540.0,1800.0,1708.0,165.0,2780.0,Unknown,1795000.0,Not Applicable,Not Applicable,174,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
