Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2013.0,Comprehensive,CNG,5.0,71500,2,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,300000.0,137,9146858500.0
2016.0,Comprehensive,CNG,5.0,28111,1,1197,Manual,FWD,30.61,Standard,76.43,6000.0,98.5,4300.0,4.0,Manual,5.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,180.0,2520.0,1450.0,699000.0,180,10443825000.0
2014.0,Comprehensive,CNG,5.0,57342,1,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,139000.0,137,9146858500.0
2024.0,Comprehensive,CNG,5.0,27000,1,998,Manual,FWD,34.05,Standard,55.92,5300.0,82.1,3400.0,4.0,Manual,5.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,188.0,2435.0,1340.0,524000.0,Unknown,9917842500.0
2022.0,Comprehensive,CNG,5.0,18122,1,998,Manual,FWD,30.47,Standard,58.33,6000.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,165.0,2425.0,1350.0,650000.0,Unknown,9222720000.0
2020.0,Comprehensive,CNG,5.0,25682,1,998,Manual,FWD,33.54,Standard,67.04,5500.0,90.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,160.0,2435.0,1340.0,315000.0,152,9917842500.0
2013.0,Comprehensive,CNG,5.0,75000,1,1586,Manual,FWD,21.4,V-Type,103.3,5600.0,145.0,4100.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,170.0,2500.0,Unknown,699000.0,165,12074732500.0
2020.0,Comprehensive,CNG,5.0,60000,1,998,Manual,FWD,33.54,Standard,67.04,5500.0,90.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,170.0,2435.0,1340.0,1395000.0,152,9917842500.0
2017.0,Comprehensive,CNG,5.0,74837,1,998,Manual,FWD,32.52,Standard,58.33,5500.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,170.0,2435.0,1340.0,545000.0,Unknown,9917842500.0
2017.0,Unknown,CNG,7.0,50000,1,1373,Manual,FWD,17.5,Standard,80.46,6000.0,112.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,185.0,2740.0,Unknown,1390000.0,164,12269698200.0
