Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Volume
2023.0,Zero Dep,5.0,22527,1,1493,Automatic,2WD,19.1,Standard,114.41,4000.0,250.0,2750.0,4.0,CRDi,Yes,Automatic,6.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,165.0,2610.0,Unknown,1875000.0,19.1,50.0,Unknown,12924765000.0
2023.0,Zero Dep,5.0,22527,1,1493,Automatic,2WD,19.1,Standard,114.41,4000.0,250.0,2750.0,4.0,CRDi,Yes,Automatic,6.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,188.0,2610.0,Unknown,1875000.0,19.1,50.0,Unknown,12924765000.0
2019.0,Zero Dep,7.0,80000,1,2393,Manual,RWD,17.0,V-Type,147.8,3400.0,343.0,2800.0,4.0,Direct Injection,Yes,Manual,5.0,BS IV,Double Wishbone,Standard/Other,Power,Tilt and Telescopic,Solid Disc,Drum,160.0,2750.0,2430.0,1600000.0,13.68,55.0,Unknown,15553764750.0
2023.0,Unknown,5.0,50000,1,1497,Manual,FWD,23.23,Turbocharged,113.31,3750.0,260.0,2750.0,4.0,EFI,Yes,Manual,6.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,208.0,2498.0,Unknown,1150000.0,23.23,44.0,180,11675307600.0
2025.0,Unknown,5.0,800,1,1993,Automatic,AWD,15.37,Turbocharged,265.52,4200.0,550.0,2200.0,4.0,MPFi,Yes,Automatic,9.0,BS VI 2.0,Standard/Other,Standard/Other,Electric,Fixed,Solid Disc,Solid Disc,165.0,2500.0,Unknown,9900000.0,27.39,37.0,230,19064817060.0
2025.0,Unknown,5.0,1663,1,2925,Automatic,AWD,20.51,Standard,281.61,4600.0,600.0,3200.0,4.0,MPFi,No,Automatic,9.0,BS VI 2.0,Standard/Other,Standard/Other,Electric,Tilt and Telescopic,Solid Disc,Drum,160.0,2850.0,Unknown,,27.39,76.0,250,16765215003.0
2025.0,Unknown,5.0,500,1,1993,Automatic,AWD,16.8,Turbocharged,265.52,4200.0,550.0,2200.0,4.0,MPFi,Yes,Automatic,9.0,BS VI 2.0,Standard/Other,Standard/Other,Electric,Fixed,Solid Disc,Solid Disc,165.0,2500.0,Unknown,,27.39,37.0,230,19064817060.0
2024.0,Unknown,5.0,11000,1,1995,Automatic,4WD,16.78,Turbocharged,187.74,5200.0,400.0,2500.0,4.0,MPFi,Twin,Automatic,8.0,BS VI 2.0,Standard/Other,Standard/Other,Electric,Fixed,Ventilated Disc,Ventilated Disc,180.0,2845.0,Unknown,6500000.0,16.55,65.0,231,16870119904.0
2024.0,Unknown,6.0,10000,1,2993,Automatic,4WD,18.9,Standard,335.25,4400.0,700.0,2250.0,4.0,MPFi,No,Automatic,8.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,165.0,2651.0,Unknown,,14.31,37.0,245,21086825430.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,390000.0,25.2,42.0,155,10193472000.0
