Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2022.0,Unknown,5.0,30000,1,999,Automatic,FWD,17.2,Standard,113.98,5500.0,178.0,4500.0,4.0,Direct Injection,Yes,Automatic,6.0,17.2,50.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,188.0,2651.0,1660.0,1125000.0,Unknown,11986832000.0
2024.0,Comprehensive,7.0,8000,1,1451,Automatic,FWD,12.34,Turbocharged,141.04,5000.0,250.0,3600.0,4.0,MPFi,Yes,Automatic,6.0,12.34,60.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,160.0,2750.0,Unknown,1948999.0,195,15175890400.0
2024.0,Unknown,7.0,20277,1,1482,Automatic,FWD,14.7,Standard,157.81,5500.0,253.0,3500.0,4.0,Direct Injection,Yes,Automatic,7.0,17.9,45.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,167.0,2780.0,Unknown,1795000.0,174,13957776000.0
2022.0,Comprehensive,5.0,20000,1,999,Manual,FWD,19.17,Standard,71.01,6250.0,96.0,3500.0,4.0,MPFi,Yes,Manual,5.0,19.17,40.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,205.0,2500.0,Unknown,552000.0,Unknown,11209721250.0
2023.0,Comprehensive,5.0,27802,1,1497,Automatic,2WD,17.7,Standard,113.42,6300.0,144.0,4500.0,4.0,MPFi,No,Automatic,6.0,17.7,50.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,170.0,2610.0,Unknown,1425000.0,Unknown,12924765000.0
2022.0,Unknown,5.0,30000,1,999,Automatic,FWD,17.2,Standard,113.98,5500.0,178.0,4500.0,4.0,Direct Injection,Yes,Automatic,6.0,17.2,50.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,188.0,2651.0,1660.0,1125000.0,Unknown,11986832000.0
2024.0,Comprehensive,7.0,8000,1,1451,Automatic,FWD,12.34,Turbocharged,141.04,5000.0,250.0,3600.0,4.0,MPFi,Yes,Automatic,6.0,12.34,60.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,170.0,2750.0,Unknown,1948999.0,195,15175890400.0
2024.0,Unknown,7.0,20277,1,1482,Automatic,FWD,18.24,Standard,157.81,5500.0,253.0,3500.0,4.0,Direct Injection,Yes,Automatic,7.0,17.9,45.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,165.0,2780.0,Unknown,1795000.0,174,13957776000.0
2022.0,Comprehensive,5.0,20000,1,999,Manual,FWD,19.17,Standard,71.01,6250.0,96.0,3500.0,4.0,MPFi,No,Manual,5.0,19.17,40.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,205.0,2500.0,Unknown,552000.0,Unknown,11209721250.0
2023.0,Comprehensive,5.0,27802,1,1497,Automatic,2WD,17.7,Standard,113.42,6300.0,144.0,4500.0,4.0,MPFi,No,Automatic,6.0,17.7,50.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,200.0,2610.0,Unknown,1425000.0,Unknown,12924765000.0
