Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Transmission,Drive Type,Mileage,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Transmission Type,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port,Volume
2022.0,Unknown,Electric,5.0,60000,1,Automatic,FWD,18.9,141.04,6000.0,250.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Solid Disc,190.0,2498.0,Unknown,800000.0,Unknown,40.5,56.0,900.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,11685817968.0
2024.0,Zero Dep,Electric,5.0,9500,1,Automatic,FWD,21.1,174.33,6000.0,280.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,165.0,2585.0,Unknown,1645000.0,175,50.3,60.0,540.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,12895686243.0
2025.0,Unknown,Electric,5.0,8500,1,Automatic,FWD,18.4,204.0,6000.0,250.0,4000.0,Automatic,Double Wishbone,Multi-Link,Electric,Tilt and Telescopic,Ventilated Disc,Ventilated Disc,165.0,2800.0,Unknown,4695000.0,175,66.4,30.0,360.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,13728630240.0
2023.0,Zero Dep,Electric,5.0,17100,1,Automatic,4WD,20.51,402.3,6000.0,664.0,4000.0,Automatic,Standard/Other,Standard/Other,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,160.0,2498.0,Unknown,7700000.0,200,106.0,30.0,360.0,Not Applicable,Lithium-ion,CCS-I,15986017840.0
2023.0,Unknown,Electric,5.0,23813,1,Automatic,FWD,19.81,143.0,6000.0,215.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Solid Disc,190.0,2498.0,Unknown,1325000.0,Unknown,40.5,56.0,360.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,11688744544.0
2023.0,Unknown,Electric,5.0,23813,1,Automatic,FWD,19.81,143.0,6000.0,215.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Solid Disc,190.0,2498.0,Unknown,1325000.0,Unknown,40.5,56.0,360.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,11688744544.0
2022.0,Comprehensive,Electric,5.0,39500,1,Automatic,AWD,22.41,321.84,6000.0,630.0,4000.0,Automatic,Standard/Other,Standard/Other,Electric,Tilt Only,Ventilated Disc,Ventilated Disc,170.0,3014.0,Unknown,770000.0,200,71.0,31.0,445.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-I,18721597050.0
2025.0,Unknown,Electric,5.0,2800,1,Automatic,RWD,22.41,282.0,6000.0,380.0,4000.0,Automatic,MacPherson Strut,Multi-Link,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,207.0,2775.0,Unknown,1345000.0,Unknown,79.0,1220.0,480.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,13561853619.0
2020.0,Comprehensive,Electric,5.0,36000,1,Automatic,FWD,18.9,127.0,6000.0,245.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,205.0,2498.0,Unknown,1850000.0,Unknown,30.2,60.0,549.6,PMSM (Permanent Magnet Synchronous Motor),Not Applicable,CCS-I,11613504738.0
2024.0,Zero Dep,Electric,5.0,12000,1,Automatic,FWD,18.4,134.0,6000.0,200.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,186.0,2700.0,Unknown,2215000.0,Unknown,38.0,45.0,420.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,15312972090.0
